MIDDLEWICH BOSTOCK HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ675682,Long,-2.4874,Lat,53.2107,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.48,0.56,2.2,2.66,2.89,1.48,4.34,3.3,1.29,0.89,2.95,2.02,2.76,1.37,1.86,2.79,1.4,1.41,1.99,3.35,3.49,1.94,1.59,2.86,1.93,1.02,4.05,1.06,1.95,1.49,2.4,0.93,3.22,2.75,1.53,3.92,1.43,2.4,1.66,2.37,3.53,3.7,3.61,2.29,2.41,2.47,2.33,3.14,5.98,1.73,4.05,2.58,2.28,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.06,4.41,1.97,2.01,1.57,1.82,0.67,0.48,0.96,1.73,0.61,0.13,1.58,2.88,3.35,0.2,1.57,2.91,1.83,1.22,3.01,1.6,1.48,1.76,3.26,0.9,2.8,1.81,2.31,0.76,2.03,2.21,1.25,1.15,1.32,2.93,3.69,1.38,2.03,0.82,3.1,0.43,3.04,4.27,1.14,4.07,3.06,1.1,2.81,0.88,0.48,2.75,0.06,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.46,3.07,1.89,1.14,2.21,1.72,2.08,1.55,1.53,2.47,1.66,1.29,1.01,0.49,1.62,2.73,3.56,2.14,1.07,1.39,1.21,1.93,1.66,3.75,1.38,2.8,2.66,1.22,2.88,2.37,0.59,1.37,4.24,4.18,2.93,1.72,1.93,1.77,1.3,5.95,3.32,1.46,1.93,1.67,0.98,1.03,1.22,3.11,1.41,0.77,2.47,0.23,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.93,1.15,3.07,1.34,1.08,1.93,1.37,0.88,0.99,2.76,1.47,1.97,1.22,0.6,1.61,2.24,1.51,2.34,1.46,2.71,1.43,1.99,2.15,1.91,1.54,1.65,1.38,1.01,2.72,2.03,3.13,1.61,0.34,3.43,0.82,1.19,2.12,2.03,0.93,1.23,4.49,1.31,2.44,2.48,1.88,1.26,1.2,2.78,1.16,0.74,2.47,2.28,2.97,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.79,3.25,1.75,1.02,1.5,1.45,6.84,1.62,0.74,2.24,2.04,4.21,2.85,2.35,2.25,0.7,0.48,1.51,3.81,2.05,1.65,0.96,3.27,2.84,1.47,0.63,2.2,2.51,2.57,1.04,2.59,0.48,2.02,2.15,1.75,1.69,2.14,2.5,2.61,0.93,4.18,0.82,0.78,3.53,5.07,3.42,2.95,1.14,0.87,1.96,2.63,2.81,5.2,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.02,2.04,5.69,3.13,0.77,2.83,1.4,1.39,2.02,0.69,2.51,4.15,3.53,1.8,2.79,2.8,4.18,3.41,2.25,2.43,4.45,2.06,1.2,1.71,1.42,0.89,1.62,3.89,1.88,2.55,1.9,2.81,3.15,2.05,1.97,1.64,2.34,2.82,1.49,2.01,2.62,0.44,1.2,0.85,2.19,0,1.42,5.01,5.59,1.48,1.15,4.78,0.22,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.59,2.07,4.02,3.01,4.65,1.02,2.56,1.17,5.51,3.94,2.48,1.86,3.04,2.12,2.24,4.45,1.82,0.82,0.44,1.63,2.59,3.26,2.06,2.69,2.13,2.65,1.13,5.58,3.06,4.17,3.65,0.71,3.46,1.29,5.21,4.05,2.04,1.15,3.68,1.32,5.57,0.55,4.31,3.47,4.74,2.57,3.74,2.24,1.63,2.29,5.62,3.11,3.26,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.61,3.58,3.68,1.83,1.5,1.89,1.27,1.16,3.03,5.3,3.68,3.95,4,2.77,3.64,3.46,3.86,3.2,5.03,0.98,5.63,2.71,2.92,4.36,4.07,3.71,2.73,3.81,2.48,3.12,5.24,2.5,5.55,1.29,2.89,3.65,3.25,5.52,3.07,3.64,1.05,4.28,3.66,3.45,4.99,2.42,3.4,3.79,2.66,3.52,3.14,6.47,1.61,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.02,2.79,2.1,4.88,2.37,4.05,3.44,2.97,0.66,3.49,1.02,2.89,2.88,3.06,1.07,1.43,4.86,3.9,0.65,3.46,0.78,0.87,1.08,4.22,1.55,1.47,2.43,0.66,3.92,2.29,0.33,2.92,1.38,1.27,2.02,0.4,2.29,1.57,6.11,2.15,3.02,0.78,2.91,3.35,3.16,3.76,4.13,4.73,0.85,2.12,3.25,4.38,2.11,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.43,3.03,3.43,4.56,1.42,5.43,4.77,2.13,1.08,2.04,2.21,4.43,5.54,2.25,3.02,3.14,3.84,1.87,3.55,3.53,3.92,2.82,3.4,5.5,1.84,2.48,4.2,3.57,1.95,4.68,2.65,2.46,2.84,2.49,1.43,1.62,3.68,5.46,1.29,2.81,1.32,2.6,0.48,4.37,3.48,4.33,2.34,2.25,3.72,5.28,4.12,1.09,5.37,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
