BARRA (CRAIGSTON),,,,,,,,,,,,,,,,,,,,
Grid ref,NF6606201125,Long,-7.4991,Lat,56.9802,Elevation,22,ft,,,,,,,,,,,,
Station no,5764/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.19,,3.39,6.75,6.26,4.01,2.69,,,,5.9,6.24,6.46,3.5,,,
February,,,,0.44,,1.99,3.82,4.11,5.16,3.15,3.65,,,2.06,4.48,3.14,,,,
March,,,,2.46,,2.35,1.52,3.68,3.12,4.48,2.7,,,1.67,2.38,,,,,
April,,,,2.81,,1.69,2.33,0.54,1.85,1.99,1.51,,,2.52,2.12,,5.66,,,
May,,,,2.47,,2.69,3.53,2.83,1.49,1.37,1,,3.47,3.22,2.87,0.74,,,,
June,,,,2.45,,2.73,2.37,5.08,1.59,2.72,0.89,,,3.08,3.54,4.87,,,,
July,,,,4.15,,3.81,2.94,3.25,5.02,2.16,3.48,,4.76,3.12,3.37,3.68,,,,
August,,,,4.47,,4.25,3.59,3.26,2.94,2.48,5.74,,5.17,3.46,2.43,,,,,
September,,,,7.1,,4.02,4.91,5.56,3.14,3.63,1.57,,4.22,3.58,4.86,5.57,,,,
October,,,,3.95,,4.18,3.27,9.96,2.44,6.44,4.57,,8.65,7.48,5.11,0.65,,,,
November,,,,2.76,,4.22,2.94,9.1,6.43,6.68,5.22,,4.64,5.51,1.25,4.97,,,,
December,,,,4.5,,5.13,4.98,5.89,4.63,6.55,4.32,,3.03,5.56,7.12,4.69,,,,
Total,,,,40.75,,40.45,42.95,59.52,41.82,44.34,,,,47.16,45.77,,,,,
,,,,,,,,,,,,,,,,,,,,
1934 Nov Dec Estd,,,,,,,,,,,,,,,,,,,,
1941 Est Deleted,,,,,,,,,,,,,,,,,,,,
BR 1946 NP too muchEst Deleted ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5764/2,,,,,,,,,,,,,,,,,,,
Midas,55715,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
