HORSHAM-RUSPER-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ204374,Long,-0.2809701,Lat,51.123241,Elevation,390,ft,,,,,,,,,,,,
Station no,RR7845,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.08,1.53,,,,,,2.42,,,,
February,,,,,,,,,1.39,2.48,,,,,,0.27,,,,
March,,,,,,,,,3.85,1.97,,,,,,2.1,,,,
April,,,,,,,,,1.26,2.32,,,,,,2.54,,,,
May,,,,,,,,,1.33,2.45,,,,,,0.25,,,,
June,,,,,,,,,3.3,2.69,,,,,,0.31,,,,
July,,,,,,,,,4.27,1.73,,,,,,4.07,,,,
August,,,,,,,,,1.63,2.48,,,,,,4.12,,,,
September,,,,,,,,,0.76,0.97,,,,,,0.45,,,,
October,,,,,,,,,1.55,5.85,,,,,,3.97,,,,
November,,,,,,,,,3.55,0.86,,,,,,6.08,,,,
December,,,,,,,,,1.65,1.75,,,,,,3.68,,,,
Total,,,,,,,,,25.62,27.08,,,,,,30.26,,,,
