ISLAY GRUINART SCHOOL HOUSE (MOVED),,,,,,,,
Grid ref,NR287667,Long,-6.332539,Lat,55.817095,Elevation,10,ft
Station no,RR1227,,,,,,,
,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909
January,,7.22,5.9,4.6,6.17,3.39,,
February,2.19,5.57,3.79,3.69,4.84,4.95,,
March,3.23,6.97,2.56,5.26,3.55,4.72,,
April,2.62,2.54,5.02,2.41,2.76,2.14,,
May,3.47,2.59,2.47,2.43,3.18,4.35,,
June,1.48,1.48,2.04,1.57,1.16,3.59,,
July,4.2,3.59,3.79,3.07,3.04,3.44,,
August,2.35,6.95,5.27,4.83,4.37,6.13,,
September,8.13,3.52,4.74,4.13,2.17,2.33,,
October,3.24,8.61,4.39,5,5.01,5.25,,
November,5.48,5.34,5.45,5.33,4.81,4.36,,
December,4.97,3.98,4.17,3.83,5.02,5.37,,
Total,,58.36,49.59,46.15,46.08,50.02,,
,,,,,,,,
TYRain_1870-1879_11_pt3-page-099.csv,,,,,,,,
ERROR_TYRain_1880-1889_15_pt1-page-077.csv CORRECTIONS: 1882 September value=5.36; October value=4.67 (JacsHu),,,,,,,,
TYRain_1890-1899_24_pt1-page-183.csv,,,,,,,,
TYRain_1900-1909_28_pt1-page-221.csv NOTE: gauge moved in Feb 1902 1.5 miles East to elevation 10 ft,,,,,,,,
,,,,,,,,
LOCATION UNCERTAIN,,,,,,,,
