"ISLAY GRUINART SCHOOL & POST OFFICE",,,,,,,,,,,,
Grid ref,NR287667,Long,-6.332539,Lat,55.817095,,,,,,,
Station no,RR1227,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.31,1.52,3.74,7.22,5.90,4.60,6.17,3.39,,,,
February,1.00,1.27,2.19,5.57,3.79,3.69,4.84,4.95,,,,
March,0.47,1.33,3.23,6.97,2.56,5.26,3.55,4.72,,,,
April,0.89,0.97,2.62,2.54,5.02,2.41,2.76,2.14,,,,
May,0.82,1.24,3.47,2.59,2.47,2.43,3.18,4.35,,,,
June,1.34,1.69,1.48,1.48,2.04,1.57,1.16,3.59,,,,
July,1.78,1.68,4.20,3.59,3.79,3.07,3.04,3.44,,,,
August,2.00,2.77,2.35,6.95,5.27,4.83,4.37,6.13,,,,
September,1.38,4.06,8.13,3.52,4.74,4.13,2.17,2.33,,,,
October,4.98,5.91,3.24,8.61,4.39,5.00,5.01,5.25,,,,
November,5.66,4.22,5.48,5.34,5.45,5.33,4.81,4.36,,,,
December,3.05,4.04,4.97,3.98,4.17,3.83,5.02,5.37,,,,
Total,24.68,30.70,45.10,58.36,49.59,46.15,46.08,50.02,,,,
Calc annual,24.68,30.70,45.10,58.36,49.59,46.15,46.08,50.02,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
