AVENING-BROOKSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST885979,Long,-2.1677245,Lat,51.679744,Elevation,350,ft,,,,,,,,,,,,
Station no,2147/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.17,2.87,7.05,2.47,2.69,3.53,,,,
February,,,,,,,,,,,4.1,0.79,1.56,0.82,2.97,3.17,,,,
March,,,,,,,,,,2.65,2.82,2.7,1.23,0.39,1.31,1.44,,,,
April,,,,,,,,,,2,1.3,1.5,0.83,1.97,1.21,2.47,,,,
May,,,,,,,,,,2.43,2.13,4.65,3.18,0.8,2.87,4.32,,,,
June,,,,,,,,,,0.54,1.94,0.27,2.31,3.14,3.93,3.49,,,,
July,,,,,,,,,,5.66,2.58,2.6,1.43,2.16,1.33,1.72,,,,
August,,,,,,,,,,0,2.64,5.35,3.35,2.65,2.82,7.31,,,,
September,,,,,,,,,,0.7,0.78,2.83,2.48,3.34,2.35,4.17,,,,
October,,,,,,,,,,4.87,1.71,4.05,2.54,5.27,3.91,0.8,,,,
November,,,,,,,,,,7.94,3.45,1.6,2.11,6.98,0.53,6.31,,,,
December,,,,,,,,,,1.43,2.47,4.3,1.98,2.02,5.86,3.12,,,,
Total,,,,,,,,,,,29.09,33.51,30.05,32.01,31.78,41.85,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
