BODMIN-LANHYDROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX081635,Long,-4.703862,Lat,50.439897,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.94,6.51,1.24,2.12,2.79,4.5,5.11,4.31,7.62,4,3.48,2.76,7.32,4.31,3.26,3.51,6.17,6.65,1.67,4.55,1.29,7.45,8.6,4.55,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.65,5.77,5.03,7.45,3.94,7.29,7.76,5.34,2.23,1.24,1.55,3.79,1.77,0.26,5.14,6.69,3.24,0.14,0.93,4.92,2.63,6.85,7.18,2.71,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.49,0.85,2.74,5.48,1.53,1.67,5.05,2.5,4.04,2.41,5.36,6.13,2.83,3.34,1.44,0.32,2.85,4.1,4.85,5.31,1.94,1.95,2.77,3.78,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,4.4,3.57,2,1.74,6.32,2.03,2.3,5.52,3.76,1.46,2.2,2.2,3.16,2.38,2.3,0.28,4.12,3.17,1.36,5.64,2.93,4.2,3.03,4.65,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,5.8,1.61,1.33,1.06,1.79,3.46,1.58,3.84,4.12,2.37,2.2,5.28,4.99,4.01,2.25,1.07,3.13,0.84,0.05,1.63,4.87,3.41,2.21,1.44,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.26,8.59,1.98,5.33,5.06,3.83,1.45,2.42,1.32,0.11,4.47,0.83,4.11,3.54,2.34,1.03,2.4,2.14,1.43,2.66,2.32,1.61,4.22,2.4,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.78,4.63,4.46,2.79,5.99,4.7,4.4,0.76,4.1,2.24,9.19,4.27,5.06,2.59,1.51,5,5.16,4.56,3.83,2.06,0.77,3.48,1.01,2.12,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,6.46,5.47,0.42,4.84,4.49,1.21,2.09,2.44,2.91,2.06,3.57,4.39,3.58,9.62,5.28,2.69,3.21,3.28,3.1,5.88,5.01,1.74,3.3,2.86,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.15,3.68,3.67,2.04,5.17,6.26,2.53,9.09,4.18,5.13,1.88,2.09,2.26,3.91,3.68,2.94,3.1,0.47,7.33,6.17,1.78,3.66,2.51,4.73,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,7.28,2.22,7.8,4.96,7.11,3.97,2.68,8.26,8.71,5.17,2.79,7.45,4.48,9.31,6.76,4.78,5.78,6.26,5.45,2.17,8,4.54,4.21,4.05,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,5.21,1.19,4.01,,6.34,5.87,3.31,5.09,4.58,5.64,9.43,3.41,6.89,6.07,4.69,4,9.13,7.63,1.85,3.55,4.67,3.44,7.4,1.3,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,5.09,1.69,5.68,6.51,7.14,1.74,5.48,2.57,7.17,4.33,5.14,3.55,5.56,6.37,3.17,5.95,5.01,7.71,11.3,8.75,6.36,4.67,7.68,8.88,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,51.51,45.78,40.36,,57.67,46.53,43.74,52.14,54.74,36.16,51.26,46.15,52.01,55.71,41.82,38.26,53.3,46.95,43.15,53.29,42.57,47,54.12,43.47,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Nov NR (Gauge broken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Gauge moved to SPringfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
