"BODMIN LANHYDROCK & SPRINGFIELD CASTLE HILL",,,,,,,,,,,,
Grid ref,SX081635,Long,-4.703862,Lat,50.439897,,,,,,,
Station no,RR452,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.60,4.55,3.50,5.62,6.74,3.39,8.86,2.62,2.15,3.03,,
February,7.18,2.71,2.89,2.63,9.43,2.06,6.07,2.08,3.49,0.79,,
March,2.77,3.78,3.59,6.37,2.81,6.78,1.93,1.31,5.99,6.06,,
April,3.03,4.65,3.03,2.46,2.36,4.59,1.59,6.71,3.15,2.93,,
May,2.21,1.44,2.24,4.44,4.37,0.82,4.00,3.36,2.09,1.38,,
June,4.22,2.40,3.81,1.29,1.77,3.93,1.63,3.33,0.99,3.83,,
July,1.01,2.12,3.71,6.84,5.79,0.89,1.86,2.61,3.28,3.23,,
August,3.30,2.86,2.52,6.97,3.26,6.72,3.17,2.62,4.99,1.93,,
September,2.51,4.73,3.67,5.01,3.81,2.35,1.32,1.55,4.00,1.83,,
October,4.21,4.05,3.78,13.00,2.94,3.12,6.38,8.96,2.71,8.02,,
November,7.40,1.30,8.84,4.20,4.38,7.73,4.16,5.56,1.69,1.88,,
December,7.68,8.88,4.82,8.83,5.13,2.33,5.22,5.76,4.58,7.38,,
Total,54.12,43.47,46.40,67.66,52.79,44.71,46.19,46.47,39.11,42.29,,
Calc annual,54.12,43.47,46.40,67.66,52.79,44.71,46.19,46.47,39.11,42.29,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
