KIRKBEAN WOODSIDE COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX979591,Long,-3.5943281,Lat,54.916126,Elevation,98,ft,,,,,,,,,,,,
Station no,RR4191,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,5.15,8.29,2.7,9.45,4.41,2.16,1.37,0.82,2.78,,,,,,,
February,,,,,1.95,1.33,6.67,3.54,2.7,2.6,3.81,3.93,3.36,,,,,,,
March,,,,,2.44,1.76,4.31,3.16,2.57,2.67,1.8,4.74,4.66,,,,,,,
April,,,,,2.01,1.6,3.07,2.94,3.28,1.18,3.81,1.59,3.45,,,,,,,
May,,,,,1.54,2.4,0.42,3.72,3.62,2.07,1.18,3.7,1.26,,,,,,,
June,,,,,0.5,3.72,4.09,3.5,2.7,4.49,2.53,3.76,4.26,,,,,,,
July,,,,,2.69,3.15,2.76,4.62,0.55,5.68,4.33,5.27,7.57,,,,,,,
August,,,,,6.18,2.62,3.39,7.38,6.07,5.35,0.95,5.45,3.52,,,,,,,
September,,,,,5.15,5,4.56,3.3,3.86,4.89,3.26,3.27,2.77,,,,,,,
October,,,,,9.14,5.18,4.64,8.43,3.55,2.52,1.14,3.03,5.86,,,,,,,
November,,,,,4.13,5.37,3.85,8.67,1.85,1.54,5.68,5.55,5.72,,,,,,,
December,,,,,2.8,2.82,7.78,3.85,2.74,2.44,3.39,3.67,3.98,,,,,,,
Total,,,,,43.68,43.24,48.24,62.56,37.9,37.59,33.25,44.78,49.19,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation on record given as 33 ft;,,,,,,,,,,,,,,,,,,,,
NGR based on distances/directions from church on record and elevation at that NGR recorded above.,,,,,,,,,,,,,,,,,,,,
