KIRKBEAN ARBIGLAND,,,,,,,,,,,,,,,,,,,,
Grid ref,NX989574,Long,-3.578137,Lat,54.901059,Elevation,89,ft,,,,,,,,,,,,
Station no,RR4191,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.38,,4.27,4.36,2.14,1.99,3.13,3.32,,,,,,
February,,,,,,,2.07,,2.99,1.52,4.63,4.19,3.64,2.44,,,,,,
March,,,,,,,2.04,,3.63,3.68,2.94,0.82,4.64,3.85,,,,,,
April,,,,,,,0.92,,1.84,2.08,2.95,3.7,0.87,4.01,,,,,,
May,,,,,,,5.76,,4.86,2.25,2.43,2.24,2.07,3.34,,,,,,
June,,,,,,,1.78,,3.11,3.1,1.52,3.19,5.9,3.25,,,,,,
July,,,,,,,2.39,,4.16,3.86,4.61,1.66,3.81,0.82,,,,,,
August,,,,,,,6.44,4.45,3.92,2.57,6.66,1.68,4.95,1.85,,,,,,
September,,,,,,,0.92,0.89,7.04,2.17,0.93,2.84,1.97,2.75,,,,,,
October,,,,,,,5.22,8.31,2.05,8.86,1.59,3.75,3.4,2.71,,,,,,
November,,,,,,,3.11,3.76,2.95,1.67,5.94,4.9,3.21,4.45,,,,,,
December,,,,,,,3.28,6.96,3.77,6.1,4.61,6.71,5.56,,,,,,,
Total,,,,,,,37.31,,44.59,42.22,40.95,37.67,43.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1913 Dec 2.5 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
