"KIRKBEAN ARBIGLAND",,,,,,,,,,,,
Grid ref,NX989574,Long,-3.578137,Lat,54.901059,,,,,,,
Station no,RR4191,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.38,,4.27,4.36,,
February,,,,,,,2.07,,2.99,1.52,,
March,,,,,,,2.04,,3.63,3.68,,
April,,,,,,,0.92,,1.84,2.08,,
May,,,,,,,5.76,,4.86,2.25,,
June,,,,,,,1.78,,3.11,3.10,,
July,,,,,,,2.39,,4.16,3.86,,
August,,,,,,,6.44,4.45,3.92,2.57,,
September,,,,,,,0.92,0.89,7.04,2.17,,
October,,,,,,,5.22,8.31,2.05,8.86,,
November,,,,,,,3.11,3.76,2.95,1.67,,
December,,,,,,,3.28,6.96,3.77,6.10,,
Total,,,,,,,37.31,,44.59,42.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.31,24.37,44.59,42.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,-0.00,,
