"NIDDERDALE, WEST HOUSES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE042764,Long,-1.937142,Lat,54.18336,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.48,2.44,,5.33,3.84,2.36,8.38,4.69,3.89,2.69,6.24,11.03,6.49,3.24,2.93,8.81,5.23,2.45,7.56,2.33,4.19,2.53,6.05,3.12,5.29,6.97,5.14,7.76,10.66,3.35,5.41,8.18,9.93,10.71,5.47,5.11,5.61,7.36,7.16,5.28,10.43,2.45,7.09,3,9.38,4.3,6.78,2.8,8.83,8.65,11.04,10.8,2.58,4.22,4.77,9.89,7.73,7.43,7.34,5.62,11.24,4.88,4.62,5.8,4.99,1.55,4.97,3.78,5.53,8.99,6.65,6.09,8.05
February,,,,,,,,,2.8,3.39,,0.7,3.62,9.41,9.71,1.63,1.2,4.83,5.62,4.48,7.4,2.02,2.44,7.19,5.66,3.7,4.59,3.72,3.8,2.38,5.04,7.68,3.83,3.79,5.85,9.1,7.52,0.94,8.29,2,6.07,0.3,5.55,10.64,1.3,7.01,4.89,3.32,4.55,1.51,2.08,4.93,0.88,9.32,0.54,10.59,3.97,8.03,3.25,7.56,3.59,6.7,2.1,6.23,4.12,8.98,7.11,6.77,5.94,6.04,9.37,5.5,1.15,4.3,2.8,2.79,2.7,5.58,7.45,0.97,5.97
March,,,,,,,,,5.2,5.81,,3.52,0.95,1.52,4.4,6.16,6.59,9.57,3.79,2.36,1.54,4.92,1.88,9.23,2.95,4.49,4.37,4.69,3.49,3.73,1.12,3.18,6.11,8.62,4.58,0.83,3.29,3.13,2.5,5.39,4.85,5.4,4.22,2.84,2.23,1.55,2.11,4.49,5.17,0.5,3.72,1.88,4.53,3.46,5.63,2.28,4.45,3.67,2.07,4.3,4.43,5.2,3.05,3.01,0.52,2.06,2.62,10.11,4.5,1.81,3.06,5.18,5.28,1.14,4.36,2.27,2.12,5.09,2.94,3.68,3.09
April,,,,,,,,,4.79,3.54,,3.94,2.61,0.76,3.87,4.65,2.5,3.74,3.39,3.37,3.06,2.94,1.43,2.15,4.87,4.82,1.42,2.32,2.77,2.61,3.65,2.85,0.74,5.74,1.98,1.96,3.56,3.27,1.49,3.25,7.08,1.64,4,4.16,2.88,6.53,2.3,4.17,1.11,2.09,4.85,4.49,6.47,2.28,5.59,5.27,2.19,3.95,0.7,3.05,3.52,3.1,2.86,3.74,3.32,4.15,2.53,8.86,5.03,8.07,5.44,3.97,2.86,4.51,1.79,1.19,2.26,0.54,1.61,6.02,4.01
May,,,,,,,,,3.32,2.66,,5.3,7.17,2.37,2.8,0.9,0.56,1.79,1.9,3.28,1.98,1.65,2.48,5.45,4.22,1.21,6.6,5.38,3.34,2.6,2.86,2.45,,4.6,3.4,1.56,3.07,2.57,2.54,2.05,5.98,2.69,1.37,5.07,7.93,6.48,3.98,3.51,2.8,3.99,1.84,4.26,6.29,3.85,5.49,1.37,2.18,4.19,4.65,1.37,1.68,2.88,3.79,5.51,2.83,5.54,3.9,3.07,2.61,2.24,2.64,7.16,2.65,2.54,5.41,5.11,1.94,2.79,6.39,1.58,2.05
June,,,,,,,,,3.07,0.76,,1.99,4.75,3.56,3.5,2.74,4.08,3.32,5.88,1.56,3.61,1.7,1.15,3.02,2.04,1.91,1.93,6.53,1.91,3.58,2.27,3.15,5.79,3.03,3.98,0.67,2.79,3.58,1.26,1.25,1.61,0.76,3.2,1.6,2.98,0.2,4.51,4.51,7.45,1.94,2,6.94,3.1,2.05,2.97,5.42,7.05,2.66,4.99,1.71,0.63,0.71,1.03,4.22,4.06,6.25,4.19,4.81,6.41,1.18,2.41,1.55,2.3,3.45,3.02,2.72,3.83,1.74,4.22,2.74,2.38
July,,,,,,,,,6.5,3.95,,6,2.62,5.17,3.76,8.01,2.32,1.22,1.21,3.23,2.59,3.48,3,4.06,1.62,0.89,2.36,2.76,4.87,4.16,3.25,0.21,4.56,1.13,2.76,7.1,2.71,1.88,4.68,2.79,7.82,3.51,7.45,5.02,6.88,1.99,4.88,6.61,2.24,3.54,8,5.57,5.21,5.35,1.62,1.8,5.22,3.15,5.86,5.16,5.52,1.84,4.48,3,3.07,3.42,4.63,2.3,1.68,3.69,4.18,2.31,1.86,6.17,3.65,1.2,5.52,4.2,5.21,3.85,8.28
August,,,,,,,,,5.31,6.72,,10.46,6.78,4.84,5.62,3.43,2.51,6.31,6.21,1.68,6.77,2.86,3.41,5.6,4.58,4.57,4.04,3.18,3.92,5.34,6.43,3.25,6.53,1.3,1.42,3.35,3.29,7.95,2.86,3.75,3.22,7.51,6.12,8.37,6.61,4.51,4.79,9.15,7.72,4.33,6.15,5.44,1.79,1.31,5.48,1.82,3.67,3.16,4.98,3.43,1.57,5.03,5.9,7.25,3.35,5.27,8.9,0.33,5.3,3.29,9.04,5.52,5.84,5.54,7.22,1.57,9.98,8.09,3.88,1.11,4.18
September,,,,,,,,,1.57,1.46,,5.04,5.38,3.33,0.51,1.74,8.12,4.4,1.46,5.92,1.3,1.79,2.38,5.15,1.45,4.11,0.88,0.76,3.69,2.76,0.45,3.28,1.83,2.19,1.7,0.81,2.89,3.76,12.04,2.72,1.85,2.58,6.75,7.08,7.17,2.86,4.29,7.63,0.87,1.81,5.08,4.58,5.77,3.02,4.83,9.54,3.8,3.02,2.12,3.02,3.94,0.4,2.78,6.06,8.25,4.71,8.97,4.6,5.15,1.82,8.79,3.74,5.84,5.13,6.15,3.19,4.5,5.44,6.94,0.29,4.29
October,,,,,,,,,3.05,7.89,,8.64,12.04,4.97,11.11,5.12,6.88,3.11,6.95,4.89,7.82,2.17,4.75,11.56,1.9,3.11,9.97,8.65,2.64,4.71,6.09,4.18,4.27,3.74,3.23,1.12,14.11,8.72,4.4,5.51,3.4,3.04,2.32,8.9,6.24,6.11,4.19,7.66,9.01,6.96,5.62,3,7.44,4.6,9.29,10.44,5.55,3.19,16.43,5.09,6.28,6.42,5.78,4.26,8.18,9.34,2.63,1.94,2.84,7.57,4.27,3,5.86,2.87,11.55,3.43,4.23,7.02,5.27,7.43,7.84
