"WAMPHRAY SCHOOL, DUMFRIES",,,,,,,,,,
Grid ref,NY119958,Long,-3.3873676,Lat,55.248486,Elevation,317,ft,,
Station no,RR7332,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,6,0.7,,,,
February,,,,,3.3,1.2,,,,
March,,,,,3.35,2.5,,,,
April,,,,,0.72,1.7,,,,
May,,,,,4.1,1.7,,,,
June,,,,,5.55,2.8,,,,
July,,,,,3.48,4.3,,,,
August,,,,,5.2,5.6,,,,
September,,,,,2.69,0.57,,,,
October,,,,,4.85,6.7,,,,
November,,,,,3.8,3.4,,,,
December,,,,,6.3,1.8,,,,
Total,,,,,49.34,32.97,,,,
