"COMRIE (INVERGELDIE LODGE)",,,,,,,,,,,,
Grid ref,NN742278,Long,-4.041242,Lat,56.425587,,,,,,,
Station no,5544/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.70,3.50,1.85,4.90,5.09,4.39,9.59,6.31,2.86,3.13,,
February,4.85,1.00,1.65,5.45,3.04,2.25,6.66,2.06,1.95,7.47,,
March,3.50,4.60,1.25,4.38,3.23,3.22,4.63,1.81,4.95,2.55,,
April,3.60,3.25,2.80,1.44,3.44,1.14,2.27,1.89,3.98,6.18,,
May,2.20,3.25,3.15,6.20,3.92,3.49,2.63,3.52,1.22,3.69,,
June,2.70,2.65,3.50,3.24,1.70,3.62,1.34,2.80,2.41,2.50,,
July,3.30,3.85,3.90,2.84,1.17,4.26,4.89,4.16,6.81,3.23,,
August,7.00,4.85,1.15,3.70,1.86,7.52,5.63,5.32,2.08,4.29,,
September,4.55,2.55,6.05,6.50,4.35,7.29,3.39,6.00,0.98,4.47,,
October,1.85,6.05,3.55,7.79,6.82,3.63,3.32,5.66,6.94,7.29,,
November,12.10,2.90,7.85,10.12,2.95,1.72,3.11,1.83,9.98,6.52,,
December,7.45,4.20,6.75,10.24,10.54,10.45,9.04,7.32,10.82,6.39,,
Total,57.80,42.65,43.45,66.80,48.11,52.98,56.50,48.68,54.98,57.71,,
Calc annual,57.80,42.65,43.45,66.80,48.11,52.98,56.50,48.68,54.98,57.71,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
