LEDNOCK DAM,,,,,,,,,,
Grid ref,NN729287,Long,-4.062742,Lat,56.433319,Elevation,1140,ft,,
Station no,5544/75,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.23,4.02,10.73,6.51,2.42,4.43
February,,,,,4.36,2.84,7.45,2.73,1.86,7.16
March,,,,,3.12,2.88,5.78,2.04,5.88,2.64
April,,,,,2.47,1.86,1.95,1.94,4.62,7.12
May,,,,,3.78,3.5,2.66,4.42,1.53,3.89
June,,,,2.36,2.94,4.71,1.66,3.83,2.85,2.76
July,,,,2.95,0.88,5.25,3.82,5.16,6.75,4.26
August,,,,4.81,1.2,7.54,6.54,5.48,2.09,5.19
September,,,,7.18,4.3,8.13,3.91,6.71,1.06,4.97
October,,,,9.31,5.12,4.24,3.71,4.94,6.52,8.16
November,,,,13.53,3.5,2.53,3.11,1.61,10.06,7.35
December,,,,10.41,11.82,9.46,7.8,9.07,10.43,6.99
Total,,,,,48.72,56.96,59.12,54.44,56.07,64.92
,,,,,,,,,,
1955 NP unorthodox site,,,,,,,,,,
1956 NP unorthodox site,,,,,,,,,,
1957 NP unorthodox site,,,,,,,,,,
1958 NP unorthodox site,,,,,,,,,,
1959 NP unorthodox site,,,,,,,,,,
1960 NP unorthodox site,,,,,,,,,,
,,,,,,,,,,
Station no,5544/75,,,,,,,,,
Midas,15319,,,,,,,,,
Hyd Stn,880560,,,,,,,,,
