GARSTANG FORTON,,,,,,,,,,,,
Grid ref,SD489502,Long,-2.780016,Lat,53.945369,,,,,,,
Station no,RR7971,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.07,1.61,2.11,3.85,4.10,1.95,4.57,1.73,3.46,1.88,,
February,3.34,1.70,1.52,3.41,4.00,1.54,3.00,1.72,2.42,1.88,,
March,0.51,3.47,3.05,3.86,2.52,2.94,3.25,4.18,2.84,2.62,,
April,2.27,1.96,1.55,1.39,2.77,2.79,1.75,1.48,2.48,3.57,,
May,1.89,0.85,3.02,3.00,2.64,0.93,4.72,3.75,2.79,2.08,,
June,3.14,2.05,1.40,1.52,1.52,1.92,2.24,7.73,2.49,2.36,,
July,2.84,1.60,3.84,3.97,2.26,2.06,2.14,3.29,3.61,6.19,,
August,5.24,2.93,2.74,6.17,3.94,4.57,3.97,5.22,4.52,3.54,,
September,1.84,1.40,1.42,6.00,1.99,3.32,1.24,0.90,5.13,2.74,,
October,6.27,4.16,4.23,8.87,3.30,3.20,7.47,4.53,1.91,5.78,,
November,3.96,3.61,2.73,3.26,2.92,4.62,2.98,3.69,3.60,1.72,,
December,5.18,4.84,3.84,3.36,3.42,0.92,3.30,4.55,3.32,7.97,,
Total,40.55,30.18,31.45,48.66,35.38,30.76,40.63,42.77,38.57,42.33,,
Calc annual,40.55,30.18,31.45,48.66,35.38,30.76,40.63,42.77,38.57,42.33,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
