GARSTANG FORTON LODGE,,,,,,,,,,
Grid ref,SD488502,Long,-2.7815391,Lat,53.945359,Elevation,130,ft,,
Station no,RR7970,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.62,3.73,2.14,2.73,0.97,3.48,5.07
February,,,,4.78,4.44,0.3,1.65,2.58,2.77,2.11
March,,,,1.44,3.17,4.17,4.57,4.83,0.89,2.21
April,,,,0.38,1.58,2.14,1.75,2.77,2.46,
May,,,,2.15,2.49,0.73,0.58,1.62,2.95,
June,,,,1.59,3.5,2.43,2.92,4.44,2.09,
July,,,,3.53,2.9,5.33,5.18,1.56,1.11,
August,,,,4.03,5.3,4.88,3.93,5.07,6.33,
September,,,,4.92,0.53,1.07,4.9,3.78,1.58,
October,,,,6.12,3.41,5.15,4.07,2.24,4.02,
November,,,3.14,2.11,4.06,3.03,1.34,5.1,4.29,
December,,,2.47,3.62,3.95,3.8,4.93,4.71,3.92,
Total,,,,36.29,39.06,35.17,38.55,39.67,35.89,
,,,,,,,,,,
1899 April gauge moved 440 yds due W to Ratcliffe Cottage,,,,,,,,,,
