"BERKELEY (SHARPNESS DOCKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2151,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.58,3.27,4.04,1.62,3.92,3.33,5.12,3.85,6.53,0.91,4.38,
February,0.76,0.24,4.17,5.73,0.38,3.65,2.38,3.66,3.68,1.01,0.66,
March,3.25,1.74,3.36,1.79,1.49,0.52,0.35,2.74,3.74,0.28,2.61,
April,4.59,0.89,2.63,3.14,2.93,1.94,3.24,1.05,1.15,0.82,2.05,
May,2.27,2.13,0.61,1.96,5.21,3.18,2.46,1.11,0.89,2.06,1.91,
June,4.03,0.12,0.54,0.54,2.17,0.00,1.60,3.73,2.83,1.35,0.82,
July,4.45,0.33,4.79,2.16,4.71,3.53,2.69,5.42,2.30,1.60,3.68,
August,1.71,2.82,4.98,2.34,3.91,3.53,2.57,4.69,3.32,2.33,3.05,
September,2.72,2.64,1.90,2.56,4.59,4.44,0.54,5.64,1.19,0.38,4.25,
October,2.75,1.76,1.16,6.15,5.35,3.97,3.39,2.97,6.09,4.12,2.71,
November,1.26,2.55,1.73,2.31,2.82,1.58,7.59,2.73,3.57,10.92,3.22,
December,3.42,1.98,5.38,3.35,5.09,4.10,0.50,3.46,3.11,6.92,3.49,
Total,35.79,20.47,35.29,33.65,42.57,33.77,32.43,41.05,38.40,32.70,32.83,
Calc annual,35.79,20.47,35.29,33.65,42.57,33.77,32.43,41.05,38.40,32.70,32.83,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
