"BERKELEY (SHARPNESS DOCKS)",,,,,,,,,,,,
Grid ref,SO669027,Long,-2.480577,Lat,51.722038,,,,,,,
Station no,2151,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.68,2.37,0.99,2.03,3.31,4.07,3.60,2.79,5.27,4.19,,
February,4.25,0.45,1.92,3.30,1.89,0.42,4.23,4.51,0.34,2.62,,
March,3.40,1.95,0.88,3.67,1.82,0.48,3.69,0.94,2.31,2.20,,
April,3.63,2.68,3.12,0.24,1.19,2.03,0.14,0.72,3.35,1.22,,
May,2.82,3.16,2.58,2.19,6.38,0.95,1.46,2.78,0.98,1.07,,
June,0.82,1.83,1.70,4.91,3.64,2.55,1.42,3.58,1.96,2.78,,
July,0.75,0.98,3.94,2.56,0.15,2.68,4.68,2.84,2.24,3.65,,
August,4.47,4.39,4.18,2.68,0.80,4.93,3.13,2.64,2.20,4.16,,
September,3.04,2.15,3.83,3.57,1.24,4.32,3.65,6.01,0.14,4.01,,
October,0.78,4.69,1.44,3.52,1.72,2.29,2.94,2.82,2.46,5.83,,
November,6.75,3.91,1.55,5.69,4.68,0.67,1.95,2.50,3.71,4.87,,
December,2.65,2.35,0.89,2.71,3.62,4.64,2.18,3.71,6.27,3.06,,
Total,38.04,30.91,27.02,37.07,30.44,30.03,33.07,35.84,31.23,39.66,,
Calc annual,38.04,30.91,27.02,37.07,30.44,30.03,33.07,35.84,31.23,39.66,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
