ABERFELDY (AM BOTHAN),,,,,,,,,,,,,,,,,,,,
Grid ref,NN 85906 48954,Long,-3.860851,Lat,56.618511,Elevation,350,ft,,,,,,,,,,,,
Station no,5553/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,4.78,5.76,1.45,5.23,10.95,7.89,3.74,1.91,1.72,2.82,6.02,,,,,,,
February,,,5.43,0.41,4.56,2.12,3.7,1.42,4.12,2.37,3.88,1.31,3.19,,,,,,,
March,,,2.39,3.01,1.96,2.3,1.99,0.92,2.67,2.69,1.92,2.73,1.95,,,,,,,
April,,,1.23,3.14,3.06,0.62,1.38,0.22,2.13,3.17,1.65,2.57,2.64,,,,,,,
May,,,2.3,2.66,0.69,1.03,3.05,2.57,1.01,1.07,3.25,3.85,2.36,,,,,,,
June,,,1.62,1.12,7.78,1.47,1.1,3.76,0.88,0.26,0.52,1.26,3.3,,,,,,,
July,,,2.9,3.15,0.81,4.02,3.53,4.21,4.1,4.56,2.42,1.62,1.84,,,,,,,
August,,,0.99,3.94,2.39,1.82,2.76,2.97,2.37,1.01,3.46,3.12,4.41,,,,,,,
September,,,1.86,4.41,4.66,3.23,1.77,3.32,2.57,1.4,1.6,4.52,,,,,,,,
October,,,3.63,5.41,7.17,3.07,3.19,6.35,7.94,5.66,3.15,3.02,,,,,,,,
November,,,3.67,0.31,5.59,3.16,0.47,7.49,5.8,6.04,5.6,0.68,,,,,,,,
December,,,0.72,10.34,2.78,6.23,2.43,4.98,1.86,3.32,3.74,5.23,,,,,,,,
Total,,,31.52,43.66,42.9,34.3,36.32,46.1,39.19,33.46,32.91,32.73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5553/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
