ESKDALEMUIR (WHITE HOLE),,,,,,,,,,
Grid ref,NT207010,Long,-3.250477,Lat,55.297594,Elevation,1300,ft,,
Station no,5040/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,6.31,,,5.55,4.78,7.61
February,,,,,2.55,,,5.5,2.86,7.98
March,,,,,3.14,,,2.31,4.2,2.66
April,,,,,3.47,,,3.23,5.22,6.78
May,,,,,4.66,,2.11,5.19,1.85,3.4
June,,,,,3.22,,1.75,4.25,3.96,3.9
July,,,,,3.25,,4.52,8.36,5.7,5.84
August,,,,,1.91,,6.37,6.56,1.08,5.43
September,,,,,6.4,,4.89,6.43,2.16,4.66
October,,,,,3.54,,7.07,4.92,7.01,2.71
November,,,,,3.22,,1.81,2.48,10.22,8.46
December,,,,,8.3,,5.05,5.6,9.93,6.22
Total,,,,,49.97,,,60.38,58.97,65.65
,,,,,,,,,,
13118,WHITE HOLE BURN ,NT2078801099,01/01/1955,31/12/1962,,,,,,
Elevation at src_id NGR given rather than the 1230 ft on the TYR,,,,,,,,,,
