BRADFORD-ON-AVON-FROME-ROAD,,,,,,,,,,
Grid ref,ST825606,Long,-2.252639,Lat,51.34421,Elevation,108,ft,,
Station no,1481/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.14,3.44,4.27,2.32,2.89,4.42,3.64
February,,,,3.68,1.85,0.19,3.53,3.87,0.27,2.51
March,,,,3.12,1.32,0.82,2.41,1.27,3.6,2.75
April,,,,0.33,1.16,1.54,0.19,1.09,2.17,1.4
May,,,,2.43,4.08,0.59,1.69,2.48,2.86,1.39
June,,,,4.5,3.45,2.38,1.69,4.4,2,3.32
July,,,,2.83,0.41,2.82,4.46,3.57,2.42,3.43
August,,,2.51,2.92,0.74,5.89,3.61,3.37,1.46,4.65
September,,,3.87,3.25,1.86,3.75,3.78,3.88,0.15,3.84
October,,,2.94,2.82,1.41,2.18,2.52,2.21,2.3,6.92
November,,,1.45,5.92,2.91,0.64,2.34,2.46,3.43,4.19
December,,,0.76,2.55,3.76,3.87,2.19,3.26,6.42,4.53
Total,,,,36.49,26.39,28.94,30.73,34.75,31.5,42.57
