"LYME REGIS (HORN BRIDGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1591,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.05,3.49,5.20,2.28,4.96,5.00,4.64,3.83,5.49,1.82,5.48,
February,0.67,0.31,3.13,7.35,1.17,4.72,2.41,3.59,3.21,1.97,1.19,
March,3.64,2.12,3.06,1.61,1.59,0.31,0.63,4.48,3.04,0.36,1.84,
April,4.48,1.29,4.13,2.89,3.25,2.43,2.99,2.53,1.43,0.78,3.01,
May,1.82,2.31,0.89,1.23,5.33,3.78,1.68,0.83,1.75,2.53,2.04,
June,2.56,0.55,1.07,0.49,2.51,0.00,3.59,2.68,2.06,2.39,0.26,
July,5.57,0.46,4.96,1.10,4.17,3.35,5.21,3.44,1.66,1.56,1.76,
August,1.35,2.27,3.92,1.32,3.47,2.59,1.38,3.07,1.88,2.58,3.54,
September,1.43,0.84,2.09,3.62,5.81,3.46,0.96,5.84,1.50,0.59,5.12,
October,2.36,1.24,1.65,5.74,6.20,4.17,4.20,2.98,7.47,5.19,3.05,
November,1.45,3.14,2.19,1.97,3.42,3.18,8.94,3.87,3.83,10.33,5.90,
December,4.47,1.67,4.78,3.83,4.99,5.16,0.43,4.27,3.36,7.56,4.72,
Total,34.85,19.69,37.07,33.43,46.87,38.15,37.06,41.41,36.68,37.66,37.91,
Calc annual,34.85,19.69,37.07,33.43,46.87,38.15,37.06,41.41,36.68,37.66,37.91,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
