"LYME REGIS (PENARD)",,,,,,,,,,,,
Grid ref,SY341923,Long,-2.935022,Lat,50.726567,,,,,,,
Station no,1591,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.93,2.70,0.99,1.87,3.95,3.97,,,,,,
February,5.38,0.94,2.54,3.81,2.97,0.27,,,,,,
March,4.31,3.99,0.49,4.38,1.44,0.78,,,,,,
April,2.12,2.85,3.17,0.30,1.27,0.88,,,,,,
May,2.36,2.78,3.29,1.84,3.85,1.02,,,,,,
June,1.11,2.57,2.28,2.52,3.23,2.21,,,,,,
July,2.74,1.48,3.38,2.83,3.70,1.94,,,,,,
August,5.27,2.42,2.71,3.75,0.82,4.77,,,,,,
September,3.57,3.04,3.21,3.89,1.33,6.86,,,,,,
October,1.16,5.01,3.51,2.94,2.08,1.84,,,,,,
November,7.93,4.76,1.96,6.37,4.53,0.69,,,,,,
December,3.82,3.54,0.82,2.73,5.27,4.94,,,,,,
Total,43.70,36.08,28.35,37.23,34.44,30.17,,,,,,
Calc annual,43.70,36.08,28.35,37.23,34.44,30.17,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
