STRATFORD ON AVON,,,,,,,,,,,,,,,,,,,,
Grid ref,SP200541,Long,-1.7088891,Lat,52.184789,Elevation,123,ft,,,,,,,,,,,,
Station no,RR4708,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.05,3.34,1.47,2.36,0.56,1,2.18,2.4,2.08,1.22,2.9,,,
February,,,,,,,2.26,1.22,1.08,2.21,2.58,3.19,1.62,2.74,1.29,2.75,0.53,,,
March,,,,,,,2.83,1.42,0.55,0.92,1.41,1.28,1.87,1.17,1.17,0.9,2.14,,,
April,,,,,,,2.79,1.9,1.75,2.37,1.24,0.44,3.37,1,2.24,1.91,1.65,,,
May,,,,,,,0.52,2.21,5.26,2.94,1.03,1.14,1.86,1.55,0.9,2.96,4.51,,,
June,,,,,,,2.06,0.61,2.32,4.24,2.23,2.06,3.85,3.07,2.42,2.65,1.35,,,
July,,,,,,,0.99,3.42,0.81,2.67,7.02,1.76,2.69,3.13,2.36,0,2.96,,,
August,,,,,,,1.68,3.37,4.11,6.23,0.79,4.7,1.83,0.54,2.3,1.63,0.94,,,
September,,,,,,,4.57,1.72,2.82,3.35,4.36,2.5,3.72,4.35,1.56,3.22,2.28,,,
October,,,,,,6.78,1.23,1.33,2.86,1.42,4.34,2.06,6.38,1.62,0.7,3.38,3.99,,,
November,,,,,,5.16,3.16,2.54,2.71,0.77,1.76,2.63,5.01,3.19,1.57,3.81,2.04,,,
December,,,,,,0.83,5,1.39,1.7,0.8,2.43,3.47,3.88,1.02,2.28,0.94,2.41,1.42,,
Total,,,,,,,29.14,24.47,27.44,30.28,29.75,26.23,38.26,25.78,20.87,25.37,27.7,,,
