MULL, SOUND OF,,,,,,,,,,,,
Grid ref,NM507570,Long,-6.067330,Lat,56.638235,,,,,,,
Station no,5453,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.95,7.28,5.29,9.29,5.13,5.89,10.39,8.83,3.68,3.44,,
February,4.51,3.15,4.73,5.10,3.93,3.49,3.83,4.11,2.38,4.99,,
March,3.22,5.49,2.13,6.32,1.65,2.09,5.12,1.70,5.88,2.16,,
April,4.95,3.15,4.54,2.26,5.01,2.86,2.78,3.44,5.10,4.40,,
May,0.80,2.06,3.15,4.26,2.89,3.76,1.49,3.45,1.23,2.65,,
June,1.63,5.17,2.12,5.14,3.83,4.37,3.68,2.30,3.51,3.66,,
July,7.26,5.25,6.31,4.78,0.50,5.77,6.05,2.02,6.35,5.00,,
August,5.24,5.53,6.49,4.82,1.99,6.38,6.28,5.93,2.84,3.22,,
September,6.11,5.46,7.91,10.88,8.12,5.56,5.03,4.53,2.87,4.02,,
October,4.38,6.49,7.72,11.05,8.80,6.98,9.14,8.45,8.65,-999.00,,
November,8.61,4.05,12.31,10.78,2.21,6.00,5.08,2.81,8.12,-999.00,,
December,11.32,7.58,7.50,10.51,8.87,11.73,7.93,5.09,11.15,-999.00,,
Total,66.98,60.66,70.20,85.19,52.93,64.88,66.80,52.66,61.76,-999.00,,
Calc annual,66.98,60.66,70.20,85.19,52.93,64.88,66.80,52.66,61.76,33.54,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-1032.54,,
