SOUND OF MULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM507570,Long,-6.06733,Lat,56.638235,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1,5.7,4.9,10.2,9.9,6.4,8,12.4,4.7,12.2,10.7,5.8,11.1,16.1,13,16.2,10.2,8.6,10.7,10.2,2.9,6,1.3,9.6,7.6,6.8,3.3,4.9,6.1,,2.39,8.67,3.01,6.9,2.95,7.65,0.7,2.12,1.22,8.69,8.07,10.25,5.99,8.15,11.35,8.79,6.43,9.46,6.57,9.35,9.11,7.62,5.32,4.72,6.99,6.3,8.41,7.55,4.57,4.62,5.25,9.64,12.78,6.21,9.86,10.15,7.3,,12.7,12.37,2.43,11.72,6.46,10.38,7.27,9.21,6.78,2.96,8.31,10.18,3.75,1.68,0.18,6.45,6.82,8.3,7.02,9.5,6.34,6.69,7.95,5.22,8.95,7.28,5.29,9.29,5.13,5.89,10.39,8.83,3.68,3.44,,
February,,,,,,,,,,0.7,7.9,8.2,2.7,8.3,4.4,3.6,8.1,7.3,16.1,8.8,5.1,8.6,8.2,0.8,3.9,3.1,6.6,11.7,3,3.4,7.8,4.2,5.6,9.3,5.6,8.9,2.2,5.6,,2.91,0.85,2.88,1.7,3.47,7.4,0.53,3.69,3.18,8.51,4.31,4.23,3.65,2.15,13.57,5.37,6.53,5.34,5.33,6.19,4.6,7.6,6.67,2.32,4.55,8.5,6.53,5.42,0.95,10.37,0.81,8.69,2.51,7.26,4.79,3.92,5.6,,4.25,5.32,2.05,0.78,7.31,0.32,4.96,2.11,7.86,2.61,4.27,5.59,7.48,3.25,3.81,3.57,8.02,2.95,7.14,5.84,0,5.19,6.19,6.16,4.51,3.15,4.73,5.1,3.93,3.49,3.83,4.11,2.38,4.99,,
March,,,,,,,,,,1.08,5.4,9.8,2.9,3.4,5.2,4.3,4.6,0.21,11.2,2.1,2.9,7.1,3.6,3.5,9.3,1.1,8.6,3.7,4.1,6.1,4.3,5,8.5,2.9,5,2.8,4.1,,,2.35,7.35,3.17,0.8,2.98,5.72,5.97,4.23,5.79,5,6.07,0.1,3.06,7.4,10.63,3.12,6.05,3.05,4.89,5.59,1.49,4.07,2.45,6.12,8.46,4.43,5.67,1.15,2.21,2.5,4.09,8.53,12.06,3.69,2.42,1.25,3.8,,3.97,6.82,1,4,1.37,3.4,2.84,3.3,3.48,3.96,0.86,10.15,5.22,4.69,0.9,2.77,4.05,2.78,4.05,2.28,2.44,5.7,2.96,4.16,3.22,5.49,2.13,6.32,1.65,2.09,5.12,1.7,5.88,2.16,,
April,,,,,,,,,,0.43,1.9,0.3,4.2,6.2,4.7,2.2,1.4,9.2,3.6,3.9,4.8,4.2,3.1,1.5,8.6,3.1,2.7,2,2.7,2,4.8,1.4,4,3.8,0.5,3.1,3.6,,,1.4,2.8,0.2,0.4,0.25,1.6,1.14,5.79,3.76,3.73,6.8,4.42,4.59,3.28,2.64,8.38,1.88,1.99,4.28,1.62,2.84,5.33,4.75,2.37,4.66,4.65,5.6,2.95,2.84,1.37,6.05,2.23,2.07,3.26,3.19,4.15,7.4,,6.16,3.57,3.04,2.69,2.86,4.59,4.58,3.59,3.15,1.38,3.03,1.72,2.2,3.33,2.93,2.74,6.5,2.85,3.06,3.11,6.25,3.23,6.49,5.63,4.95,3.15,4.54,2.26,5.01,2.86,2.78,3.44,5.1,4.4,,
May,,,,,,,,,2.07,0.02,3.3,3.8,3.9,4.4,2.7,4.1,1.4,2.1,5.8,0.3,6.6,4.4,7.3,3.4,2.2,6,1.8,3,2.7,3,2.7,2.9,5.9,3.7,4.2,2.7,1.1,,,1.9,1.95,0.54,4.85,4.1,5,0,0.57,3.36,3.31,3.25,4.77,0.66,3.27,3.68,3.95,3.69,3.81,3.25,3.75,3.93,2.63,2.97,2.2,3.55,2.47,0.15,3,2.17,2.99,1.92,7.14,2.26,7.74,3.32,3.87,7.1,,3.79,0.64,3.82,2.74,4.2,1.28,2.38,3.76,0.92,4.52,2.71,3.19,2.03,1.99,0.99,2.98,4.26,4.15,3.78,0.59,2.96,0.94,3.35,1.14,0.8,2.06,3.15,4.26,2.89,3.76,1.49,3.45,1.23,2.65,,
June,,,,,,,,,3.03,1.07,1.7,2.4,5.9,3.2,6,2.2,1,3.1,4.4,1.8,6.8,3.4,10.2,4.3,2.6,4.1,6.3,8.2,4.6,3.3,3.4,6.9,5.2,5.5,1.1,2.7,1.4,,,0.28,6.9,1,3,0.04,4.79,0,2.48,1,4.1,2.82,3.88,4.59,1.74,1.31,4.04,2.35,0.67,3.66,4.4,1,0.88,2.51,4.77,4.47,2.25,1.65,3.55,0.29,3.99,6.31,3.18,2.34,3.95,4.58,4.21,2.2,,4.3,3.9,4.72,4.39,5.01,2.31,3.24,3.78,2.58,2.71,3.71,7.23,2.59,2.57,0.98,3.6,5.85,4.4,5.76,4.66,5.7,4.04,2.01,3.54,1.63,5.17,2.12,5.14,3.83,4.37,3.68,2.3,3.51,3.66,,
July,,,,,,,,,6.02,3.4,1.3,4,7.3,0.8,3.6,3.7,5,3.6,1.5,4.8,9.9,8.2,5.4,4.4,4.4,3.6,5.2,6.5,1.9,10.7,2.7,9.8,14,2.5,5.4,5.1,3.7,,,0.56,6.87,1.95,2.6,5.1,6.05,1.85,3.77,6.16,4.17,5.13,3.86,1.87,3.71,6.66,2.15,4.83,5.64,2.08,2.46,5.4,3.26,3.64,4.63,0.7,4.17,4.5,2.66,1.4,4.94,1.53,5.18,3.4,4.18,6.51,6.43,3.2,,2.87,5.7,4.73,2.11,5.34,5.16,4.74,4.36,3.81,4.28,5.63,5.73,7.37,4.13,5.1,5.87,5,3.9,4.66,7.03,3.7,4.95,2.48,7.59,7.26,5.25,6.31,4.78,0.5,5.77,6.05,2.02,6.35,5,,
August,,,,,,,,,2.03,0.62,0.48,10.4,3.8,9.9,4.8,4.8,6.8,4.8,8.6,2.3,1.6,5,5.7,5.9,,12.2,6.6,3.7,3.6,5.2,0.8,7.1,7.9,8.1,6.2,2.2,3.6,,,4.35,6,5.65,4.2,2.5,6.1,4.06,3.2,4.02,7.22,2.3,5.72,7,5.13,8.11,6.84,3.84,4.07,9.51,5.87,3.53,5.98,3.21,3.82,2.2,3.12,2.1,3.93,4.68,6.21,4.86,4.78,2.86,4.1,7.73,5.91,6.5,,4.36,4.45,6.97,8.64,1.39,3.85,6.98,4.83,8.43,4.43,3.13,3.91,1.5,5.33,7.78,7.99,6.57,2.26,3.4,5.03,0.28,6,6.14,6.44,5.24,5.53,6.49,4.82,1.99,6.38,6.28,5.93,2.84,3.22,,
September,,,,,,,,,4.01,0.89,4.5,13.3,4.1,10.2,10.1,3.2,9.2,5.5,1.9,12,9.5,3.2,10.2,3.5,,4.4,3.1,4.6,6.6,12.5,6.9,4.4,10.5,3.5,3.7,3.3,3,,,3.05,6.95,7.15,7.3,5.55,0,4.29,3.95,7.03,9.46,9.26,7.42,4.88,8.85,5.39,4.65,7.01,5.29,3.04,7.19,3.33,2.69,8.01,5.58,3.25,3.34,0.8,4.65,7.06,7.85,8.57,5.58,3.18,1.47,9.51,8.71,5.6,,5.1,4.23,4.81,3.35,2.37,6.28,2.5,8.83,7.66,5.56,6.19,5.43,4.38,6.22,3.92,10.79,7.01,4.94,3.79,7.49,6.86,8.1,4.43,10.75,6.11,5.46,7.91,10.88,8.12,5.56,5.03,4.53,2.87,4.02,,
October,,,,,,,,,1.02,0.41,9.7,6.4,13.9,5.9,4.6,3.6,6.2,11.4,9.8,6.2,11.3,13,10.4,15.3,12.5,6,8.6,10.1,10.4,5.5,2,4.9,10.3,9.8,9.3,3.8,2.8,,,2.05,9.8,6.6,3.65,11.03,3,2.16,3.03,4.05,4.62,6.09,7.78,8.3,5.85,13.23,6.04,6.79,8.43,3.89,2.53,8.1,1.92,5.79,7.69,6.83,2.15,2.55,10.7,12.55,8.78,3.13,4.48,5.63,3.07,11.72,4.97,6,,7.24,7.87,11.27,9.68,6.51,10.85,9.18,10.68,10.19,7.37,4.26,13.74,1.84,7.18,7.07,8.73,15.63,7.75,5.1,0.67,2.8,8.97,10.07,8.33,4.38,6.49,7.72,11.05,8.8,6.98,9.14,8.45,8.65,,,
