LONG LOCH RESERVOIR (NORTH END),,,,,,,,,,
Grid ref,NS485533,Long,-4.415294,Lat,55.749292,Elevation,775,ft,,
Station no,5277/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.84,7.95,6.15,2.3,4.08
February,,,,,,1.79,3.15,3.57,2.8,5.2
March,,,,,,3.09,5.75,1.2,3.2,1.8
April,,,,,,1.55,2.95,2.05,3.36,4.98
May,,,,,4.56,3.76,2.65,3.25,1,2.3
June,,,,,3.5,3.2,2.95,3.3,3.7,2.9
July,,,,,1.2,4.95,3.6,5.85,6.2,4.4
August,,,,,1.65,5.7,4.85,5.4,1.2,3.8
September,,,,,5.96,5.2,3.85,6,1.6,4.1
October,,,,,4.2,5.2,6.05,4.35,7.58,3.35
November,,,,,2.3,4.26,3.15,2.15,6.4,6.9
December,,,,,7.55,7.45,5.7,6.7,8.2,6.85
Total,,,,,,48.99,52.6,49.97,47.54,50.66
,,,,,,,,,,
Station no,5277/7,,,,,,,,,
Midas,13447,,,,,,,,,
Hyd Stn,647382,,,,,,,,,
