"CORK QUEEN'S COLLEGE",,,,,,,,,,,,
Grid ref,IW6594971240,Long,-8.495389,Lat,51.892639,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.55,5.68,1.86,8.32,5.81,3.59,5.83,1.27,2.83,1.80,,
February,4.16,1.79,6.32,3.85,5.98,1.60,3.35,1.98,2.31,2.25,,
March,0.78,3.52,1.77,6.24,2.56,7.49,1.23,0.93,3.38,3.17,,
April,1.68,4.42,3.22,2.01,1.62,3.44,1.30,2.70,1.47,5.75,,
May,2.65,1.88,2.00,2.69,2.25,0.86,3.24,3.66,2.81,1.52,,
June,4.26,1.58,3.13,3.95,2.14,2.52,1.64,3.39,1.20,2.79,,
July,1.64,0.61,2.71,5.85,4.25,1.96,3.02,2.64,1.71,1.00,,
August,3.04,2.31,3.43,4.40,2.99,6.33,1.49,2.24,2.63,0.42,,
September,0.81,8.32,1.95,4.22,4.02,1.41,0.40,1.13,4.04,1.46,,
October,5.88,2.59,1.42,6.14,2.85,1.05,4.38,5.00,2.88,6.58,,
November,5.03,1.79,9.33,1.74,1.55,4.81,3.01,4.88,2.60,1.00,,
December,6.52,5.64,3.37,4.90,3.01,6.34,1.91,6.04,3.68,4.26,,
Total,40.00,40.13,40.51,54.31,39.03,41.40,30.80,35.86,31.54,32.00,,
Calc annual,40.00,40.13,40.51,54.31,39.03,41.40,30.80,35.86,31.54,32.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
