CORK QUEENS COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW6594971240,Long,-8.495389,Lat,51.892639,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,6.72,3.41,4.07,4.22,6.76,5.12,6.82,8.59,4.76,4.92,7.26,9.7,2.77,7.88,2.61,8.08,2.82,6.51,1.67,1.37,3.85,8.8,6.19,4.02,3.1,4.8,5.42,2.82,6,2.3,2.36,5.98,6.16,5.73,1.14,3.27,2.51,4.63,3.55,5.68,1.86,8.32,5.81,3.59,5.83,1.27,2.83,1.8,3.1,0.8,5.01,5.93,1.93,3.7,2.04,3.97,4.94,4.64,5.94,2.57,6.44,1.92,8.04,5.64,9.18,4.75,5.39,2.23,7.07,1.67,5.19,3.58,4.67,0.84,7.51,9.04,4.59,5.7,4.08,4.81,4.72,8.82,3.68,2.73,4.71,7,7.67,1.31,3.67
February,,,2.49,1.32,1.67,3,2.76,2.59,2.16,2.96,4.39,4.47,5.32,1.46,5.41,1.41,4.36,1.56,3.38,3.8,4.71,5.38,4.77,8.23,7.36,6.88,3.76,1.4,0.41,2.43,3.16,0.54,4.14,3.96,2.23,2.36,1.9,2.67,1.53,5.28,4.16,1.79,6.32,3.85,5.98,1.6,3.35,1.98,2.31,2.25,5.64,1.94,4.76,1.75,6.46,7.91,4.3,1.45,6.12,3.68,1.67,2.56,4.42,8.53,2.97,4.45,4.74,2.66,3.42,8.16,1.03,2.62,0.17,2.25,0.32,2.95,6.05,4.3,3.11,4.38,7.93,4.02,1.67,1.88,0.65,4.17,1.88,5.08,2.5,2.51,6.41
March,,,4.27,4.7,3.24,3.82,3.97,8.03,3.28,2.85,2.24,2.64,3.8,4.85,1.05,1.22,3.63,2.99,1.27,1.47,3.23,5.13,1.97,2.03,5.02,2.76,5.91,2.18,3.15,1.53,4.55,1.51,1.24,0.27,1.84,3.19,2.99,6.29,0.63,1.82,0.78,3.52,1.77,6.24,2.56,7.49,1.23,0.93,3.38,3.17,2.74,3.17,3.69,3.74,5.33,0.8,2.34,3.33,3.69,2.46,4.14,2.91,2.22,3.96,1.31,0.22,1.5,4.79,7.33,0.89,6.88,8.01,3.18,2.78,4.67,1.54,3.21,5.99,1.52,2.93,2.73,3.99,5,0.89,0.46,1.36,2.91,8.99,2.89,0.91,2.42
April,,,3.01,2.01,1.77,1.54,2.7,3.3,2.97,2.58,1.14,4.48,1.11,1.98,1.64,1.09,3.3,6.45,4.85,3.75,2.8,1.62,4.97,2.64,1.84,4.3,2.46,1.13,1.78,4.05,1.58,2.61,0.89,1.54,6.54,2.95,0.43,5.39,3.77,3.06,1.68,4.42,3.22,2.01,1.62,3.44,1.3,2.7,1.47,5.75,1.91,1.78,0.54,3.03,1.37,1.67,3.25,1.12,1.73,1.3,5.54,0.54,2.98,4.28,2.44,5.51,3.04,1.21,5.66,1.46,2.09,2.72,2.48,2.58,3.52,3.31,1.58,3.5,0.1,2.08,3.51,1.42,2.38,1.68,3.38,1.36,0.78,4.04,2.13,3.69,2.1
May,,,3.65,1.53,2.44,4.36,2.12,5.37,2.35,5.48,2.38,0.65,1.5,1.47,0.18,2.42,0.25,3.8,5.68,1.45,0.78,1.74,2.27,1.35,1.6,3.05,2.8,1.04,3.61,4.51,3.93,2.63,2.74,2.02,0.88,0.77,0.16,1.69,2.38,3.94,2.65,1.88,2,2.69,2.25,0.86,3.24,3.66,2.81,1.52,1.81,1.43,1.36,3.66,1.4,2.67,2.91,4.04,2.75,5.18,5.36,1.66,1.67,0.96,3.62,4.35,2.87,2.38,2.6,4.05,1.67,4.36,4.24,4.57,1.98,0.71,1.38,1.94,4.48,1.08,2.19,2.34,5.24,4,0.45,2.56,3.58,4.56,1.2,2.7,0.86
June,,,3.91,3.89,2.06,0.66,3.74,1.57,0.95,0.18,0.64,4.22,3.52,2.43,0.91,3.01,0.85,3.88,7.47,4.88,1.89,4.73,3.3,2.15,0.79,1.42,1.32,0.59,4.23,1.71,2.86,3.46,2.78,1.68,2.1,3.33,2.16,3.08,2.02,1.37,4.26,1.58,3.13,3.95,2.14,2.52,1.64,3.39,1.2,2.79,3.73,2.89,5.17,1.89,0.88,2.26,3.03,1.77,1.11,0.63,3.22,0.02,0.8,0.14,3.7,0.63,2.28,2.57,5.6,1.21,2.15,3.27,1.39,1.59,1.63,5.31,1.55,0.68,2.78,1.78,0.9,1.71,0.81,1.84,1.33,2.31,3.48,3.76,2.69,1.25,1.58
July,,,3.91,1.48,0.7,3.35,0.44,2.93,1.2,2.07,1.01,4.67,6.94,3.4,1.27,1.96,1.39,1.43,1.51,4.25,1.66,1.82,4.73,3.86,2.76,1.52,5,1.43,5.37,1.19,2.26,1.55,3.14,1.79,1.9,3.64,4.71,0.96,1.26,1.85,1.64,0.61,2.71,5.85,4.25,1.96,3.02,2.64,1.71,1,2.1,2.78,5.08,0.25,3,5.36,2.49,1.57,4.43,1.49,3.96,3.77,3.21,2.37,3.81,2.77,1.67,4.35,1.01,4.29,2.79,2.73,2.67,2,2.2,0.5,5.67,3.21,3.97,4.2,2.39,2.33,2.25,1.94,5,4.59,2.25,2.82,2.53,1.9,3.12
August,,,2.57,4.77,1.87,4.39,3.61,2.29,5.92,0.87,1.6,2.05,6.83,3.24,1.66,2.41,2.94,6.08,7.07,2.11,1.05,4.88,3.15,4.19,0.86,4.08,2.76,2.9,3.34,4.81,2.28,3.99,7.75,5.42,2.63,4.93,1.45,4.52,4.26,2.71,3.04,2.31,3.43,4.4,2.99,6.33,1.49,2.24,2.63,0.42,4.72,2.21,3.21,1.89,3.78,1.94,3.76,6.54,2.53,3.13,2.28,3.59,3.91,5.38,2.15,3.03,2.5,3.68,5.04,2.16,5.36,4.74,2.28,1.64,3.31,2.68,0.58,1.78,1.85,1.58,0.22,2.06,4.1,3.02,1.71,2.46,5.56,1.17,3.6,2.81,5.37
September,,,3.07,1.8,2.77,0.85,4.43,3.58,5.98,5.15,3.44,4.59,3.16,2.8,3.36,6.48,5.24,3.23,3.12,2.6,1.77,2.32,2.02,5.58,2.4,5.42,3.94,2.48,0.98,1.12,2.69,3.22,3.64,1.34,1.4,1.3,5.46,2.07,3.04,1.15,0.81,8.32,1.95,4.22,4.02,1.41,0.4,1.13,4.04,1.46,1.41,2.54,1.01,4.53,3.07,1.98,1.12,1.29,6.41,2.15,2.66,1.35,3.45,2.96,5.86,2.63,0.51,3.42,2.26,0.82,4.52,0.87,2.35,1.59,5.98,6.8,2.88,3.01,2.71,1.65,1.19,1.34,1.87,3.84,4.72,3.25,4.71,2.39,1.82,3.38,5.17
October,,,5.22,7.24,4.81,3.29,3.21,4.66,2.87,0.67,6.7,3.43,5.27,2.17,3.26,6.49,6.88,7.18,3.49,0.75,2.45,5.74,4.83,2.71,1.72,2.14,6.15,2.75,2.95,3.87,1.41,6.79,3.27,2.56,6.29,2.67,3.25,5.24,7.79,1.73,5.88,2.59,1.42,6.14,2.85,1.05,4.38,5,2.88,6.58,4.36,3.99,2.52,5.71,1.51,5.86,9.13,3.51,3.39,0.51,3.96,2.9,1.96,4.81,4.22,5.31,2.87,3.48,6.41,3.22,5.12,1.17,3.79,2.09,3.5,2.1,1.53,2.48,4.84,4.53,7.19,2.61,0.92,6.97,5.5,4.49,4.33,2.91,7.69,6.11,1.76
November,,,3.38,3.96,5.78,6.84,4.1,1.75,5.83,2.44,3.33,5.06,6.27,2.52,3.69,4.21,7.28,4.37,2.86,0.75,5.16,6.85,4.6,4.87,3.5,3.21,2.42,2.53,7.33,2.52,4.94,4.26,8.19,2.11,5.3,7.88,1.61,5.36,3.01,3.36,5.03,1.79,9.33,1.74,1.55,4.81,3.01,4.88,2.6,1,4.53,4.23,1.48,4.12,3.26,3.52,9.04,1.08,3.22,1.9,4.16,5.16,1.85,3.46,5.96,2.48,6.2,4.15,5.33,6.91,5.26,9.85,1.66,2.72,1.33,4.58,3.46,3.57,5.95,9,6.53,9.81,0.69,1.8,6.73,2.15,6.22,4.64,4.55,3.35,3.86
December,,,5.07,4.07,3.43,6.69,4.22,1.5,9.99,7.12,3.98,4.2,10.59,0.77,5.15,2.28,8.15,4.02,3.09,2.25,3.08,5.42,4.79,1.34,3.84,2.05,4.77,3.22,7.6,3.53,3.93,6.27,3.94,5.3,3.08,10.93,6.96,4.35,3.44,16.11,6.52,5.64,3.37,4.9,3.01,6.34,1.91,6.04,3.68,4.26,4.31,6.8,3.05,1.22,10.73,6.97,2.94,2.66,7.12,4.56,5.12,1.84,4.34,2.27,7.48,4.13,0.48,8.43,5.61,10.78,3.97,2.25,8.17,1.66,8.92,4.29,4.89,2.47,4.35,2.89,4.24,1.98,6.56,2.22,4.11,5.61,5.27,3.74,11.56,2.35,3.91
Total,,,47.27,40.18,34.61,43.01,42.06,42.69,50.32,40.96,35.61,45.38,61.57,36.79,30.35,40.86,46.88,53.07,46.61,34.57,30.25,47,45.25,47.75,37.88,40.85,44.39,26.45,46.17,34.09,39.59,39.13,44.08,33.97,40.35,49.68,32.22,44.89,35.64,47.01,40,40.13,40.51,54.31,39.03,41.4,30.8,35.86,31.54,32,40.36,34.56,36.88,37.72,42.72,44.64,46.35,32.33,47.44,31.63,48.01,28.87,37.25,41.04,51.56,41.15,37.84,45.87,55.66,46.18,47.91,44.26,37.57,29.05,42.03,35.61,40.29,41.97,40.25,41.8,43.1,38.42,36.21,38.9,37.72,37.04,45.68,51.1,50.83,32.27,40.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880s sheet to be added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
