GLASGOW (TOLLCROSS PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS639638,Long,-4.1754,Lat,55.848142,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,
January,,,,,,,,,2.24,6.03,5.54,2.58,3.6,6.98,4.1,2.03,5,2.71,4.22,5,4.02,2.65,2.72,3.2,3.16,2.2,6.14,2.15,4.18,3.66,5.36,7.18,3.54,3.88,3.98,4.57,4.49,5.43,8.91,1.36,5.38,3.59,7.8,3.7,4.47,1.93,4.4,3.39,6.52,4.2,2.29,0.96,4.64,3.67,3.75,2.93,4.52,,,,,
February,,,,,,,,,3.08,1.71,2.48,1.43,1.21,7.43,2.14,2.58,3.01,3.08,2.33,2.15,3.93,6.29,2.54,3.69,3.91,4.55,4.6,0.91,4.69,1,4.97,0.7,3.44,3.97,0.85,3.25,4.3,2.29,4.14,1.73,0.24,3.59,0.06,2.85,0.46,3.7,1.81,5,1.67,5.1,1.5,3.11,1.87,4.53,1.42,5.19,2.67,,,,,
March,,,,,,,,,1.69,3.35,0.57,2.36,2.68,8.07,1.57,3.64,3.49,3.53,4.35,2.22,2.31,1.72,4.09,4.65,5.16,1.56,2.11,2.32,1.5,2.71,4.01,5.68,1.81,1.46,0.89,2.25,2.79,2.55,3.18,0.82,2.44,1.33,2.22,2.26,3.07,1.78,2.99,1.19,2.96,3.21,4.23,3.54,1.9,1.91,0.9,2.74,2.13,,,,,
April,,,,,,,,,1.66,3.66,2.02,3.09,0.81,1.29,4.72,2.29,1.31,1.9,1.31,3.28,4.5,2.63,1.72,3.41,2.57,2.56,3.4,1.51,0.62,1.93,1.8,0.91,2.09,3.41,2.21,5.05,2.59,2.79,1.09,1.68,1.21,1.91,3.39,1.69,3.2,2.83,1.2,1.68,0.41,1.78,2.53,2.46,2.27,2.74,2.25,1.89,1.43,,,,,
May,,,,,,,,,2.81,4.29,2.34,1.94,2.21,2.82,3.71,1.88,4.51,4.04,2.88,1.98,1.91,2.19,1.27,3,2.3,1.63,4.42,2.68,2.23,1.17,5.27,2.2,2.96,2.47,4.78,6.36,3.07,2.51,2.2,2.57,1.59,4.41,3.11,2.27,2.1,0.63,0.99,1.63,3.29,0.93,0.87,3.86,2.7,3.83,2.53,3.87,,,,,,
June,,,,,,,,,2.31,1.95,4.3,3.32,1.99,2.11,1.79,0.51,1.68,4.34,2.51,3.11,2.87,1.37,4.82,3.6,0.72,1.93,3.85,2.75,1.31,4.24,1.81,0.6,2,1.03,2.5,0.49,2.24,4.62,4.83,2.76,2.38,5.22,0.88,2.08,2.35,3.77,1.59,2.29,4.26,1.63,0.71,0.72,1.33,3.35,2.39,4.13,,,,,,
July,,,,,,,,,1.62,3.69,3.54,1.7,3.17,3.66,2.64,2.56,2.31,3.06,2.49,4.09,4.21,2.6,2.11,1.38,2.44,3.81,3.3,1.75,3.03,0.68,3.31,3.26,3.16,4.21,3.21,2.3,3.29,4.75,1.99,5.05,3.3,4.98,3,4,2.27,1.52,4.45,2.44,3.68,4.38,4.02,3.02,2.62,2.46,2.95,2.67,,,,,,
August,,,,,,,,,4.54,1.22,4.59,4.08,2.8,5.25,3.76,3.15,4.91,5.73,2.31,3.17,6.01,1.67,3.78,1.4,3.56,2.03,3.85,5.26,3.45,2.77,5.34,6.42,3.4,5.65,3.78,3.77,3.59,6.4,3.8,5.39,6.28,2.41,1.31,2.47,4.82,1.74,3.33,3.98,2.78,1.27,1.87,4.12,3.36,5.24,3.27,1.75,,,,,,
September,,,,,,,,,4.27,3.9,3.26,2.53,3.2,4.52,2.68,2.09,1.84,1.43,4.65,1.9,1.47,2.56,2.68,2.44,1.5,1.42,1.01,1.95,6.46,2.27,2.42,2.37,2.17,5.31,3.99,3.32,3.32,6.93,2.91,1.28,3.9,1.18,4.12,0.82,4.17,4.97,3.91,2.17,2.73,1.9,3.68,1.21,4.24,1.83,5.12,4.87,,,,,,
October,,,,,,,,,3.82,3.28,4.92,4.5,2.11,7.47,1.68,2.39,5.61,6.85,1.58,5.19,1.37,3.25,3.62,1.42,1.36,2.3,5.95,5.59,4.84,1.08,1.45,4.59,1.76,4.65,3.45,3.06,5,4.76,5.72,4.87,6.09,2.87,5.69,2.64,5.28,8.47,4,3.57,7.89,2.34,3.92,3.31,4.39,6.29,4.28,4.9,,,,,,
November,,,,,,,,,4.94,5.21,6.46,3.08,2.22,3.08,2.21,3.63,4.31,1.93,2.97,1.95,4.19,5.43,4.12,5.04,4.55,1.44,3.47,6.73,3.82,5.14,3.63,2.63,2.02,3.5,2.56,0.87,5.98,3.42,3.88,6.57,4.85,5.55,3.06,1.7,1.1,4.1,4.06,0.54,6.57,7.28,5,2.71,0.78,2.05,6.96,0.34,,,,,,
December,,,,,,,,,5.66,3.48,7.26,4.67,4.77,2.59,3.86,3.44,3.51,5.37,2.4,4.83,3.49,5.14,6.6,4.01,6.09,4.7,3.85,2.94,3.42,5.91,3.49,5.55,3.33,3.69,5.9,3.33,1.9,0.99,4.05,8.77,3.31,3.06,7.57,0.52,3.71,2.23,5.45,1.94,2.5,2.02,4.41,2.19,4.4,1.62,4.36,2.98,,,,,,
