"GLASGOW (TOLLCROSS PARK)",,,,,,,,,,,,
Grid ref,NS639638,Long,-4.175400,Lat,55.848142,,,,,,,
Station no,5172,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,4.62,1.22,4.65,2.68,2.28,5.51,3.75,1.17,3.26,,
February,2.32,1.33,1.12,3.34,2.17,1.17,2.92,2.58,1.29,3.12,,
March,2.59,2.02,0.99,2.26,1.84,2.26,3.44,0.84,1.33,1.92,,
April,2.13,2.57,1.90,1.37,1.15,0.99,1.76,1.30,2.79,2.38,,
May,1.69,1.70,2.46,3.81,3.37,1.74,2.86,2.63,1.28,2.98,,
June,2.46,2.48,1.18,2.86,1.61,2.95,1.80,2.81,2.81,2.02,,
July,4.09,2.13,4.36,3.46,1.52,5.21,3.52,5.34,4.19,2.99,,
August,4.17,3.49,2.96,5.72,1.37,5.21,4.17,4.99,0.63,3.13,,
September,2.95,2.35,2.38,4.17,3.29,4.35,2.80,3.58,0.99,2.27,,
October,0.87,3.04,1.97,9.25,2.58,2.67,3.75,3.06,4.12,2.55,,
November,5.83,2.39,5.95,5.87,1.67,1.27,1.94,1.63,4.11,4.91,,
December,5.13,3.07,4.41,5.12,5.68,4.53,3.61,4.35,5.41,4.43,,
Total,38.65,31.19,30.90,51.88,28.93,34.63,38.08,36.86,30.12,35.96,,
Calc annual,38.65,31.19,30.90,51.88,28.93,34.63,38.08,36.86,30.12,35.96,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
