INGLEBY GREENHOW VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ583064,Long,-1.102,Lat,54.450,Elevation,448,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927
January,,3.59,2.91,3.79,2.18,0.96,1.48,2.46,1.76,1.57,2.82,2.30,4.45,0.89,2.37,0.65,3.38,3.56,1.78,1.26,3.08,2.69,,,,,,2.62,2.25,3.32,4.48,1.66,3.92,0.89,4.25,1.89,3.84,4.40,4.16,3.37,1.83,2.02,1.69,3.55,1.99
February,,1.32,1.81,1.01,0.82,1.86,1.90,1.45,0.11,2.19,3.23,1.93,0.99,0.47,1.64,1.90,2.17,5.48,2.99,1.40,1.83,3.06,,,,,,3.61,1.33,2.23,0.75,2.58,4.06,3.60,0.55,1.39,1.35,1.02,0.38,2.05,5.35,2.20,4.27,1.86,1.46
March,,3.38,2.08,3.32,2.38,3.46,3.20,2.94,3.44,1.94,0.43,1.14,2.63,2.46,3.73,2.99,2.22,1.93,2.72,1.07,2.89,2.38,,,,,,1.12,2.88,3.65,3.03,2.34,1.97,5.24,3.34,1.28,4.31,3.22,1.81,3.10,1.62,1.75,2.26,0.76,2.56
April,,2.83,2.61,2.76,1.22,2.25,2.11,0.72,1.94,2.02,0.24,1.07,1.55,0.63,2.14,2.52,2.96,1.14,1.77,2.14,1.82,1.78,,,,,,3.15,1.32,0.19,3.37,0.84,1.09,1.90,3.29,2.06,2.39,4.17,1.48,2.05,1.87,2.04,3.34,1.15,2.45
May,,0.53,3.63,4.55,2.79,0.91,2.46,2.31,3.86,2.93,1.97,2.01,1.16,1.07,1.26,2.38,4.27,1.36,1.55,2.68,2.72,4.58,,,,,,2.75,0.86,2.19,1.82,2.58,1.81,2.78,1.36,2.31,1.03,2.20,2.22,2.61,3.29,4.45,2.39,2.14,1.81
June,,1.21,2.59,0.68,0.15,1.67,0.31,3.02,0.38,3.87,3.09,2.91,1.88,3.48,3.16,1.81,1.44,3.22,2.06,1.88,4.14,1.50,,,,,4.74,2.05,4.83,4.27,1.89,4.77,0.67,2.43,1.85,0.90,1.84,0.63,0.79,2.83,1.12,2.61,0.83,3.77,3.64
July,,3.30,0.66,5.46,1.41,5.26,2.55,2.46,4.99,2.20,2.50,2.82,5.68,2.04,0.96,1.74,1.31,1.63,4.23,3.54,4.14,2.61,,,,,2.88,2.98,0.96,7.50,1.21,6.07,5.68,1.97,1.15,4.77,3.40,6.51,1.61,5.45,3.51,3.42,2.45,4.46,3.17
August,,1.12,3.89,2.81,2.64,2.53,4.06,4.60,4.71,3.22,1.56,2.30,2.96,3.19,3.73,2.61,0.96,7.07,1.36,2.61,2.10,,,,,,4.78,4.22,3.19,4.85,1.88,1.50,2.51,2.52,8.05,2.68,2.64,2.46,5.00,2.94,3.57,3.16,3.15,2.13,6.90
September,,2.12,2.78,1.90,4.26,2.05,1.34,1.42,3.01,1.69,2.01,2.14,1.09,3.80,2.92,0.45,3.40,0.82,0.99,1.05,3.50,,,,,,3.39,0.90,2.52,2.20,1.63,1.81,1.86,2.11,0.85,5.46,1.40,1.68,1.08,3.48,2.30,2.11,3.68,1.58,5.95
October,,2.35,7.14,3.42,4.19,0.81,7.37,1.99,3.36,6.17,1.22,6.66,5.47,7.36,1.61,4.31,3.54,6.13,2.00,3.08,8.23,,,,,,3.21,3.91,2.90,3.22,3.11,3.11,1.77,4.17,3.92,2.60,7.60,2.22,1.83,2.51,2.71,4.14,3.31,3.50,2.57
