INGLEBY GREENHOW - SCHOOL HOUSE,,,,,,,,,,,,,,,,,
Grid ref,NZ580065,Long,-1.107,Lat,54.451,Elevation,430,ft,,,,,,,,,
Station no,RR2172,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920
January,,0.51,3.45,0.82,1.29,0.88,2.48,2.00,3.29,4.50,1.61,3.97,0.69,4.25,1.89,3.61,4.15
February,,1.43,2.18,1.55,2.22,1.57,3.42,1.15,2.16,1.02,2.72,4.98,3.58,0.54,1.31,1.43,0.91
March,,2.48,2.11,0.70,2.87,3.99,0.96,2.36,3.71,3.33,2.26,2.05,4.91,3.42,1.33,4.33,3.10
April,,3.04,1.08,3.19,2.93,3.03,2.90,1.18,0.15,3.69,0.88,1.11,1.71,2.96,1.84,2.20,3.94
May,,1.00,5.11,3.58,2.41,1.47,2.53,0.96,2.07,1.92,2.34,1.76,2.44,1.21,2.14,0.90,1.95
June,,1.49,1.05,2.97,0.74,4.35,1.90,4.48,4.07,1.63,4.71,0.64,2.17,1.83,0.82,1.50,0.58
July,,1.01,1.66,1.69,2.51,2.82,2.65,0.93,6.58,1.18,5.90,5.12,1.77,1.32,4.56,3.52,6.34
August,3.43,3.41,2.38,2.39,2.55,4.60,4.01,2.46,4.60,1.86,1.24,2.55,2.41,7.27,2.43,3.33,2.45
September,1.71,3.64,0.67,0.57,2.19,2.97,1.01,2.39,2.16,1.46,1.96,1.70,1.88,0.81,5.13,1.39,1.61
October,0.53,4.12,6.34,4.87,0.94,3.22,3.77,2.63,3.24,3.06,2.80,1.70,3.98,3.74,2.54,6.87,2.36
November,2.55,7.20,4.86,3.02,1.62,1.80,3.56,4.68,3.19,1.79,3.61,3.18,4.47,2.44,1.86,3.70,0.88
December,3.37,0.49,2.90,4.10,1.56,4.46,3.49,6.50,1.46,2.09,6.87,5.24,3.11,2.05,3.59,4.17,3.21
Total,,29.82,33.79,29.45,23.83,35.16,32.68,31.72,36.68,27.53,36.90,34.00,33.12,31.84,29.44,36.95,31.48
,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/057,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/060,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/036,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# The gauge came from the Vicarage in August 1904, and shares the 1900s rainfall sheet with the Vicarage site.",,,,,,,,,,,,,,,,,
