STONEFIELD KINTYRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR863716,Long,-5.4179,Lat,55.8908,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,4.3,9.9,3.6,7,9.1,7.1,8.2,9.6,3.5,4.4,12.9,5.1,6.1,12.1,11.4,5.5,2.15,3.5,6.7,8.1,8.4,8,2,8.8,9.4,5.6,8.7,13.4,7.4,15.78,8.2,3.7,7.9,13.3,10.6,8.2,6.8,6.49,11.82,9.87,3.89,5.63,0.79,9.21,9.3,12.8,7.27,6.39,5.48,5.84,6.67,12.42,5.76,8.06,4.2,12.72,2.73,5.16,1.97,6.24,11.79,10.88,5.72,7.74,10.43,9.12
February,4.9,4.3,4.1,7.1,1.9,7.1,3.7,5.7,3.6,13,8.95,12.5,7,7.95,2.5,6.65,1.4,6.3,3.85,1,6.15,5.8,2.5,1.4,7.6,4.3,4.5,8.6,8.2,12.3,9.2,5.3,8.73,7.9,1.55,3.7,2.81,8.31,12.56,4.11,2.53,7.58,5.85,6.5,7.98,6.74,7.67,3.17,7.16,2.3,6.14,1.58,1.9,4.12,7.68,12.81,1.49,5.37,5.32,11.01,5.26,4.34,4.28,2.38,10.35,6.8
March,5.8,1.05,3.85,8.7,3,4.64,5.1,6.05,1.25,5.55,2.45,3.8,6.55,0.95,2.15,4.45,4.65,0.4,4.8,5,8.5,4.8,11.3,5.2,4.5,6.2,4.45,5,2.1,11.1,2.27,2,5.6,5.1,3.15,8.68,2.85,10.63,4.83,4.3,6.64,5.09,8.85,8.21,2.37,5.73,6.07,5.33,4.22,6.37,3.91,8.22,6.43,1.29,4.49,6.48,5.69,11.52,7.05,3.94,6.1,0.61,4.57,7.02,10.48,3.96
April,2.7,1.4,3.3,0,6.7,3.1,5.1,2,4.8,1.9,3.2,4.7,1.5,1.2,4.75,1.65,5.2,2.45,4.1,4.35,5.3,2.6,0.5,4.3,6.1,3,1.55,2.68,10.3,5,2.7,4.6,3.73,1.9,0.95,3.72,3.2,2.72,3.38,3.62,2.15,4.55,2.43,3.63,4.2,1.36,4.07,3.94,3.65,3.64,3.3,2.89,1.89,2.7,3.16,2.33,4.22,4.49,3.94,4.89,7.41,5.11,5.22,3.41,3.72,9.94
May,2,4.4,3.2,2.8,3.4,0.3,2.5,2.75,2.45,3.2,4,3,2.4,3.95,1.3,4,2.15,3.6,2.7,6.45,0.22,1.7,2.2,5.3,4.6,2.2,4.4,2.5,3.52,4.4,1.6,7.25,2.5,3.3,3.7,2.12,4.2,1.21,2.92,4,3.07,2.46,3.76,3.71,4.38,6.2,2.98,4.75,2.02,8.12,3.1,3.44,3.25,8.24,2.63,4.08,0.37,1.22,3.83,3.92,3.57,6.42,2.06,4.26,3.57,4.57
June,3,4.6,1.7,3.52,2.4,5.9,4.7,6,2.35,5.15,3,5.22,5.4,4.35,3.8,4.85,2.82,7.4,2.1,5.7,1.95,3.1,1.8,4.4,4.8,3.7,1.58,3.45,2.22,2.2,2.1,3.28,3,8.3,3.1,2.4,4.43,4.22,7.12,4.14,5.4,3.27,7.39,5.62,5.6,1.22,3,2.4,2.12,4.31,1.69,8.22,2.19,4.72,1.77,3.96,2.08,5.25,7.97,5.2,2.52,4.04,6.06,1.76,2.53,2.8
July,4.6,4.1,3.15,4,6.9,3.9,3.2,10.05,2.5,7.2,4.9,4.13,6.7,6.3,6.75,3.2,1.2,4,3.9,5,4.1,2,4.2,5.9,0.3,4,3.76,4.2,3.8,2.2,4.45,3.5,5.4,3.42,7.9,4.7,2.92,5.04,5.84,1.47,7.96,3.48,5.91,6.74,3.09,7.17,3.56,4.58,4.01,5.67,1.47,5.89,1.35,4.81,6.83,5.01,5.53,4.62,5.81,3.52,5.46,4.72,0.75,5.59,6.44,3.54
August,4.7,5.5,7.85,4,4.6,3.1,1.5,4.7,3.6,4.9,3.8,8.2,7.1,3.5,2.3,3.7,5.3,5.6,1.3,4.65,7.15,6,12.7,3.8,6.2,3.7,7.45,9,4.22,8.9,1.9,2.3,4.58,6.05,8.8,7.65,5.53,6.92,6.39,5.97,7.42,3.51,4.24,5.45,7.84,7.36,3.63,4.88,5.71,6.18,8.01,4.86,7.92,6.8,6.32,5.18,8.63,4.67,5.98,7.78,3.78,6.39,6.33,3.68,12.13,5.73
September,9.3,8.4,6.3,3.9,3.9,2.9,5.85,2.9,6.5,3.6,1.1,3.9,1.6,1.8,5.55,4.5,2.25,2.75,3.45,4,8.4,2.5,6.8,3.2,9.6,7.8,2,9.2,7.15,1,9.9,5.22,3.45,11.02,5.8,11,5.65,4.03,4.41,8.42,10.71,4.36,3.37,7.29,4.9,6.39,12.65,8.97,5.31,3.73,3.49,9.78,8.39,9.69,6.56,0.18,3.62,6.22,8.66,9.21,10,7,5.68,8.65,5.37,6.6
October,6.5,2.7,7.7,2.9,10.1,3.5,13.2,6,8.55,4.5,4.1,9.3,8.2,3.55,8,5.35,8.35,3.4,4.6,7.8,4.3,9.4,7.1,13.6,7.4,2.8,5.5,6.3,11.94,11.5,,9.95,6.5,7.15,11.1,15,9.28,7.93,10.36,12.35,4.04,1.58,4.52,5.76,8.97,9.14,6.58,5.75,4.41,3.97,7.56,8.16,9.72,4.77,10.62,4.23,6.44,5.04,5.01,5.65,6.68,8.91,9.27,4.68,13.52,5.45
