"KINTYRE STONEFIELD TARBERT",,,,,,,,,,,,
Grid ref,NR863716,Long,-5.418971,Lat,55.889974,,,,,,,
Station no,RR110,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.88,5.72,7.74,10.43,9.12,,,,,,,
February,4.34,4.28,2.38,10.35,6.80,,,,,,,
March,0.61,4.57,7.02,10.48,3.96,,,,,,,
April,5.11,5.22,3.41,3.72,9.94,,,,,,,
May,6.42,2.06,4.26,3.57,4.57,,,,,,,
June,4.04,6.06,1.76,2.53,2.80,,,,,,,
July,4.72,0.75,5.59,6.44,3.54,,,,,,,
August,6.39,6.33,3.68,12.13,5.73,,,,,,,
September,7.00,5.68,8.65,5.37,6.60,,,,,,,
October,8.91,9.27,4.68,13.52,5.45,,,,,,,
November,9.11,7.69,7.56,7.17,7.88,,,,,,,
December,12.81,7.61,8.13,6.29,6.67,,,,,,,
Total,80.34,65.24,64.86,92.00,73.06,,,,,,,
Calc annual,80.34,65.24,64.86,92.00,73.06,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
