RICHMOND C.E. SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ175011,Long,-1.732,Lat,54.405,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,4.38,1.52,1.25,,4.13,2.41,4.39,1.44,4.48,,1.55,2.26,2.48,2.00,,,4.15,4.39,1.83,3.57,2.47,4.42,3.04,3.96,2.20,2.44,7.09,1.46,1.25,1.82,2.42,0.60,
February,0.16,2.71,4.92,,,2.08,1.33,1.67,1.81,1.26,2.77,0.63,2.10,0.25,2.97,,,1.71,1.43,1.72,5.57,1.85,1.17,1.71,2.77,1.60,2.51,1.74,0.54,5.05,3.35,0.30,3.13,
March,1.12,1.77,1.36,,,1.30,2.37,2.63,0.07,2.54,0.78,2.04,2.16,2.63,0.81,,,0.31,3.05,2.27,2.59,2.31,0.73,0.41,0.62,1.43,4.54,1.90,1.17,0.78,3.49,1.75,0.21,1.40
April,1.09,3.52,2.62,,,1.17,1.75,0.42,1.31,3.84,3.05,1.46,1.36,3.58,2.00,,,0.03,1.14,1.32,1.43,1.08,1.16,2.03,1.39,1.46,4.22,2.05,2.40,2.29,1.39,1.76,2.47,0.12
May,1.21,2.58,2.49,5.38,,3.55,1.76,1.83,1.00,0.91,,3.85,3.33,1.44,0.66,,,2.67,1.19,0.86,1.25,2.40,2.50,1.27,2.75,3.73,1.05,0.84,1.18,1.02,4.79,0.93,2.21,2.68
June,0.24,1.60,1.10,4.67,,3.45,2.32,5.67,1.34,1.03,3.64,1.60,1.86,1.32,2.76,,,2.92,2.32,0.78,0.33,2.51,0.99,1.86,2.41,2.33,3.13,3.81,0.90,1.20,0.83,0.65,2.52,1.73
July,2.65,,2.31,,,3.32,5.25,1.24,2.24,6.93,,2.41,1.59,1.07,0.90,,,4.25,4.52,4.19,,2.70,,2.72,2.57,4.30,1.99,3.44,2.45,3.06,1.05,0.55,2.55,1.19
August,3.41,,3.42,2.25,,3.31,7.23,6.51,3.15,6.12,,1.24,0.23,2.00,3.12,,,2.30,3.06,0.33,2.91,2.67,2.77,0.97,5.38,5.44,0.34,4.01,2.44,3.78,4.94,2.74,2.79,
September,1.01,,2.37,2.30,,3.13,4.89,0.58,0.98,3.71,3.17,1.84,1.48,1.54,4.97,,,1.77,1.38,1.10,0.17,2.12,4.67,6.47,2.80,5.36,2.53,2.62,2.01,3.25,1.17,3.04,2.44,2.47
October,1.57,,4.25,3.70,,3.25,3.74,3.96,2.77,2.94,1.02,3.69,2.90,2.98,4.49,,,5.81,4.30,2.82,3.17,1.98,1.83,3.56,5.00,1.37,0.48,1.21,3.63,1.72,1.36,2.78,1.85,4.94
November,2.87,,4.63,1.36,,4.55,2.52,6.00,2.74,4.62,3.71,1.23,2.73,1.91,5.41,,,3.81,3.73,3.79,3.81,0.38,1.83,5.48,0.63,5.84,3.29,1.53,4.22,5.56,7.25,2.28,2.02,5.98
December,1.98,,2.39,,,0.71,2.46,1.48,4.77,1.78,1.31,1.95,0.48,5.87,2.49,,,4.00,1.31,1.84,1.02,2.74,2.86,2.95,1.41,2.95,2.07,2.43,4.34,2.22,3.88,1.46,1.40,
Total,,,33.38,,,33.95,38.03,36.38,23.62,40.16,,23.49,22.48,27.07,32.58,,,33.73,31.82,22.85,,25.21,,32.47,31.69,38.01,28.59,32.67,26.74,31.18,35.32,20.66,24.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January 1921 reading is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The January, May, July and August 1931 readings are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January and February 1940 readings are part estimates and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The May 1941 and May 1943 readings are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The July 1946 reading is part estimate and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The January, February, August and December 1954 readings are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
