LOCH TURRET (LOCHAN MAINE),,,,,,,,,,,,
Grid ref,NN786307,Long,-3.971299,Lat,56.452778,,,,,,,
Station no,5545/7/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,4.20,2.23,6.20,4.25,4.90,9.90,9.25,3.35,6.90,,
February,6.70,2.15,1.55,6.80,3.30,2.75,10.15,4.30,2.50,7.80,,
March,6.40,5.50,1.65,6.10,3.90,4.40,6.30,5.65,6.55,4.70,,
April,6.20,4.00,2.60,1.90,2.90,1.70,3.00,4.10,4.50,8.10,,
May,1.90,3.50,3.52,6.00,2.80,3.60,2.90,4.85,1.90,4.60,,
June,3.40,3.80,2.75,3.75,2.75,4.15,2.85,4.80,2.60,3.70,,
July,3.78,3.05,7.00,3.75,1.70,5.90,6.45,6.80,7.15,5.00,,
August,8.75,6.40,3.25,4.10,2.15,7.40,7.45,5.85,3.25,6.25,,
September,5.75,2.45,7.50,7.51,4.10,8.60,4.45,7.15,1.65,5.95,,
October,2.30,6.15,4.35,10.10,5.20,5.05,4.05,5.60,7.40,11.00,,
November,15.20,3.20,7.80,10.00,3.50,2.20,4.45,2.10,12.15,13.00,,
December,9.10,4.20,7.05,12.45,11.45,11.60,9.90,8.60,15.05,7.50,,
Total,76.98,48.60,51.25,78.66,48.00,62.25,71.85,69.05,68.05,84.50,,
Calc annual,76.98,48.60,51.25,78.66,48.00,62.25,71.85,69.05,68.05,84.50,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
