"KILMANY, LOCHMALONY",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 36644 20142,Long,-3.027239,Lat,56.369325,Elevation,260,ft,,,,,,,,,,,,,
Station no,RR8268,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,2.26,2.05,1.67,2.11,3.12,2.68,2.78,4.06,1.24,2.6,2.91,5.17,1.98,4.67,1.09,
February,,,,,,5.18,2.9,0.81,1.4,1.62,1.84,0.48,2.17,4.23,1.04,3.58,4.64,1.18,1.55,1.93,
March,,,,,,0.94,2.02,1.77,1.18,2.31,2.12,1.99,2.06,1.07,1.01,1.86,0.9,2.25,4.12,0.48,
April,,,,,,1.04,1.83,1.56,0.66,1.77,1.39,1.19,1.75,2.78,1.77,3.6,2.32,1.03,0.95,0.16,
May,,,,,,0.97,3.94,2.03,3.43,1.05,2.85,2.01,0.92,1.84,5.14,4.14,2.25,2.28,1.43,0.53,
June,,,,,,1.7,2.98,1.74,0.61,1.57,0.81,0.92,1.86,0.81,2.27,0.58,3.15,2.48,4.86,1.29,
July,,,,,,3.23,7.49,2.39,5.02,0.73,3.17,2.26,3.49,2.56,5.6,1.53,2.76,2.1,0.66,3.28,
August,,,,,,4.81,3.27,5.13,2.65,2.14,3.86,3.38,1.36,5.2,2.21,2.86,2.47,6.2,5.57,3.57,
September,,,,,,2.27,1.62,1.36,4.47,1.1,2.44,1.36,2.17,2.81,4.62,3.31,4.08,5.56,2.29,0.57,
October,,,,,,3.11,4.89,2.58,2.66,1.76,2.07,2.53,1.69,2.36,4.29,2.6,4.36,5.28,3.44,2.52,
November,,,,,,1.8,4.23,2.96,1.75,5.63,2.15,1.78,1.29,2.27,1.76,1.13,5.28,1.97,2.88,3.4,
December,,,,,,6.5,4.32,1.57,1.98,4.37,3.39,1.46,2.16,2.79,3.88,3.07,0.34,1.34,2.86,3.84,
Total,,,,,,33.81,41.54,25.57,27.92,27.17,28.77,22.14,24.98,29.96,36.19,31.17,37.72,33.65,35.28,22.66,
,,,,,,,,,,,,,,,,,,,,,
Station no,RR8268,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
