CAPENHURST-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ369738,Long,-2.9473213,Lat,53.257435,Elevation,130,ft.,,,,,,,,,,,,,
Station no,RR6148,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.79,2.97,1.43,3.37,0.95,2.42,1.66,2.54,3.05,3.78,3.82,2.09,2.19,2.04,2.57,2.65,4.1,1.95,
February,,,0.9,1.02,2.07,2.61,3.15,1.8,2.15,1.91,2.8,0.3,2.83,4.53,0.92,4.47,2.56,1.64,2.16,0.79,
March,,,3.52,3.76,2.69,1.46,2.16,2.39,1.01,5.18,3.88,1.37,2.14,0.96,0.7,0.78,0.77,3.4,2.04,0.26,
April,,,0.31,3.59,0.69,1.49,1.78,2.02,1.38,1.78,4.47,1.53,2.53,2.17,2.11,1.76,0.83,2.38,2.01,1.26,
May,,,2.49,3.21,2.13,1.99,3.12,4.08,3.79,0.86,2.56,1.75,0.66,3.77,6.07,3.06,3.8,1.47,1.86,1.86,
June,,,3.21,1.95,1.96,0.83,1.74,1.99,2.13,1.66,4.48,0.35,1.99,0.71,2.52,0.05,1.58,4.9,4.76,1.88,
July,,,2.49,1.87,5.26,4.39,1.41,1,4.57,1.68,6.29,0.82,4.55,3.34,5.6,2.94,3.32,3.13,1.79,2.87,
August,,,6.26,2.98,1.84,5,2.62,7.13,2.77,4.08,1.93,4.2,3.84,3.24,5.94,4.88,3.03,5.28,3.66,3.84,
September,,,1.4,1.58,2.65,0.76,3,1.19,6.75,2.8,3.67,0.97,2.68,3.39,3.99,4.15,5.3,5.78,1.95,1.58,
October,,,2.89,2.82,1.45,1.84,4.1,5.63,1.8,3.41,2.34,2.93,0.67,4.55,3.87,4.3,2.89,2.78,3.26,4.1,
November,,,3.05,2.62,3.31,2.96,2.44,2.56,2.17,2.37,0.73,2.67,1.94,2.59,2.12,3.39,4.78,3.82,3.97,5.5,
December,,,1.97,2.26,4.98,5.07,2.06,1.38,5.29,5.21,2.32,3.5,4.25,4.38,3.37,2.5,1.1,1.55,2.22,4.55,
Total,,,32.28,30.63,30.46,31.77,28.53,33.59,35.47,33.48,38.52,24.17,31.9,35.72,39.4,34.32,32.53,38.78,33.78,30.44,
,,,,,,,,,,,,,,,,,,,,,
NGR is Capenhurst Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,
