MORPETH CRESSWELL,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ259877,Long,-1.5676993,Lat,55.221463,Elevation,95,ft,,,,,,,,,,,,
Station no,RR2676,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.98,1.24,2.17,1.5,1.59,2.62,0.8,2.91,2.72,1.23,0.3,-999,0.63,,,,,,,
February,2.1,2.1,2.39,1.04,0.98,0.9,2.59,1.78,0.9,3.03,1.31,-999,0.66,,,,,,,
March,0.99,0.46,2.57,1.85,0.71,0.57,1.97,2.92,1,0.47,1.69,2.36,0.88,,,,,,,
April,0.5,3.47,1.7,0.86,0.93,0.76,3.08,3.73,1.47,2.54,0.76,0.68,2.63,,,,,,,
May,1.48,1.3,1.33,1.76,2.41,0.79,1.25,2.36,2.34,2.5,1.11,1.29,2.4,,,,,,,
June,0.74,2.14,1.3,1.01,0.7,1.07,2.21,1.17,1.77,3.66,0.88,1.77,3.84,,,,,,,
July,0.77,2.64,3.02,2.31,1.51,2.52,0.98,2.86,0.43,3.68,3.3,2.56,2.73,,,,,,,
August,1.65,1.46,2.31,2.52,2.11,2.11,0.72,6.74,3.5,2.96,1.28,4.57,3.97,,,,,,,
September,1.44,4.06,4.71,2.27,1.38,2.56,2.62,1.67,1.25,0.46,2.62,4.25,0.81,,,,,,,
October,2.92,2.11,4.86,2.24,1.34,2.37,1.84,2.94,1.62,0.43,2.79,3.6,,,,,,,,
November,2.69,1.69,3.64,1.12,2.5,3.53,3.08,1.41,4.79,1.87,1.49,1.91,,,,,,,,
December,3.29,1.09,3.53,0.44,3.39,1.61,5.9,1.87,0.94,0.72,1.1,2.23,,,,,,,,
Total,20.55,23.76,33.53,18.92,19.55,21.41,27.04,32.36,22.73,23.55,18.63,27.06,,,,,,,,
