KIRKLAND (DUNLOP) - observer W Dunlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS406494,Long,-4.5387486,Lat,55.711747,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,6.32,5.13,10.28,4.57,5.84,2.88,4.76,5.14,7.61,4.84,3.03,0.88,7.65,5.51,,,,,,,
February,,,,,,,,,,,0.4,4.68,0.05,4.48,0.82,5.83,2.42,6.85,2.54,7.37,2.19,3.6,1.9,7.17,,,,,,,
March,,,,,,,,,,,3.51,1.35,2.83,3.37,2.67,2.22,3.37,1.19,5.53,3.39,5.64,3.62,3.1,3.02,,,,,,,
April,,,,,,,,,,,1.82,2.48,4.6,3.38,4.59,3.14,1.8,2.4,1.27,2.84,2.51,2.23,2.75,3.99,,,,,,,
May,,,,,,,,,,,2.1,4.13,3.61,2.84,3.67,0.81,1.65,1.64,4.47,1.09,1.09,3.25,3.34,4.31,,,,,,,
June,,,,,,,,,,,3.21,6.49,1.69,2.32,2.27,5.39,2.12,4.46,6.22,2.32,1.5,1.42,2.26,3.92,,,,,,,
July,,,,,,,,,,,2.92,5.03,5.09,5.01,3.05,2.74,6.55,5.83,5.72,,3,4.39,4.84,2.99,,,,,,,
August,,,,,,,,,,,6.37,1.51,3.03,4.88,5.35,2.78,4.65,3.58,4.76,1.77,3.37,4.98,6.74,7.81,,,,,,,
September,,,,,,,,,,,3.63,1.86,6.22,0.8,6.55,6.41,4.6,3.42,5.8,2.97,6.1,2.45,6,4.12,,,,,,,
October,,,,,,,,,,,8.08,4.65,7.05,3.23,8.26,10.09,,3.42,12.22,2.07,5.53,4.6,7.92,10.14,,,,,,,
November,,,,,,,,,,,6.93,8.14,4.89,2.78,2.34,6.09,4.69,0.95,8.85,,7,3.33,1.04,2.91,,,,,,,
December,,,,,,,,,,,5.86,6.4,9.4,1.91,7.23,3.66,7.1,3.75,3.03,,6.87,2.98,7.75,3.17,,,,,,,
Total,,,,,,,,,,,51.15,51.85,58.74,39.57,52.64,52.04,,42.63,68.02,,47.83,37.73,55.29,59.06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Oct 6.75 and total estimated thus removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
