"DUNLOP, DUNLOP HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS426495,Long,-4.507006,Lat,55.713299,Elevation,550,ft,,,,,,,,,,,,
Station no,5244,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,5.4,4.7,3.3,3.3,6.7,10.6,6.4,6.6,7.2,7.6,,
February,,,,,,,,,5.3,3.6,3.5,3.5,2.8,10.5,2.5,7.1,6.4,4.25,,
March,,,,,,,,,3.7,4.3,0.6,2.6,5.5,10.7,4.5,7.8,7.5,6.45,,
April,,,,,,,,,2.2,5.1,4,3.5,4.2,3.5,7.6,3.3,4.55,4.15,,
May,,,,,,,,,2.3,5.6,3.5,3,3.5,3.4,4.5,4.4,7.4,4.4,,
June,,,,,,,,,4.4,2.4,3.6,3.8,2.5,3,2.3,1.2,2.4,6.75,,
July,,,,,,,,,3.4,5.5,4.5,3.5,4.5,5.4,4.2,5.3,3.5,3.3,,
August,,,,,,,,,8.3,4.3,6.7,6,4,9.5,7.5,7.5,8.1,7.2,,
September,,,,,,,,,7.1,7.5,6.5,5.5,4.5,8.4,7.3,6.7,3.7,2.2,,
October,,,,,,,,,6.5,7.4,7.5,8,4.3,10.8,5.4,6.3,7.2,10.3,,
November,,,,,,,,,6.6,6.5,9.5,6.5,5.6,8,4.5,6.5,6.1,5.65,,
December,,,,,,,,,7.9,5.3,13,7,5,5.1,5.6,7.5,7.5,7.45,,
Total,,,,,,,,,63.1,62.2,66.2,56.2,53.1,88.9,62.3,70.2,71.55,69.7,,
