"DUNLOP (THE HILL)",,,,,,,,,,,,
Grid ref,NS412489,Long,-4.528919,Lat,55.707456,,,,,,,
Station no,5244,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,-999.00,3.45,5.35,5.11,1.81,4.66,,
February,,,,,,1.93,3.10,4.04,2.52,4.39,,
March,,,,,,3.73,5.22,1.10,2.89,2.17,,
April,,,,,,1.32,2.61,2.03,3.51,4.11,,
May,,,,,,2.57,2.90,4.62,1.60,2.05,,
June,,,,,,2.99,2.88,3.19,3.48,2.98,,
July,,,,,,5.06,4.35,4.81,5.65,5.20,,
August,,,,,,5.45,4.84,4.73,1.45,3.05,,
September,,,,,,4.72,3.94,6.29,1.71,3.80,,
October,,,,,3.50,2.97,6.16,4.20,6.87,2.82,,
November,,,,,2.81,2.31,2.66,1.79,5.52,5.67,,
December,,,,,8.29,5.98,5.25,6.17,8.15,6.87,,
Total,,,,,-999.00,42.48,49.26,48.08,45.16,47.77,,
Calc annual,0.00,0.00,0.00,0.00,14.60,42.48,49.26,48.08,45.16,47.77,,
Difference,NaN,NaN,NaN,NaN,-1013.60,-0.00,0.00,-0.00,-0.00,0.00,,
