STRATFIELD-TURGIS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU695604,Long,-1.004,Lat,51.3386,Elevation,200,ft,,,,,,,,,,,,
Station no,RR102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4.95,,,,,3.91,,,,1.24,1.31,2.31,3,,,,,
February,,,1.67,,,,,1.4,,,,2.23,1.61,4.09,1.91,,,,,
March,,,1.79,,,,,2.05,,,,1.56,0.97,0.77,1.71,,,,,
April,,,2.08,,,,,2.48,,,,0.54,3.4,1.02,1.71,,,,,
May,,,2.67,,,,,2.13,,,,0.72,1.42,1.9,0.72,,,,,
June,,,2.26,,,,,1.49,,,,1.99,2,1.77,2.61,,,,,
July,,,3.12,,,,,2.64,,,,1.37,1.66,2.88,,,,,,
August,,,1.48,,,,,2.25,,,,5.37,1.62,0.67,,,,,,
September,,,1.49,,,,,1.35,,,,1.66,2.58,3.13,,,,,,
October,,,3.52,,,,,1.72,,,,1.6,5.96,1.82,,,,,,
November,,,3.53,,,,,5.15,,,,3.09,2.91,2.55,,,,,,
December,,,4.27,,,,,1.68,,,,2.75,2.08,0.57,,,,,,
Total,,,32.83,,,,,28.25,,,,24.12,27.52,23.48,,,,,,
