READING UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU739719,Long,-0.9379,Lat,51.4414,Elevation,234,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,2.464566929,2.881889764,3.606299213,3.606299213,2.25984252,0.653543307,3.307086614,3.811023622,0.562992126,2.25984252,2.830708661,2.023622047,1.488188976,1.358267717,1.433070866,2.047244094,3.515748031,1.92519685,3.771653543,0.342519685,4.5,1.169291339,3.362204724,2.952755906,0.543307087,2.976377953,3.114173228,5.066929134,1.681102362,0.523622047,2.984251969,3.826771654,0.637795276,2.917322835,2.393700787,2.708661417,3.062992126,0.807086614,0.618110236,2.68503937,3.559055118,2.38976378,2.566929134,3.354330709,1.551181102,2.149606299,5.960629921,2.618110236,3.838582677,2.728346457,2.255905512,1.220472441,2.460629921
February,1.098425197,1.641732283,1.877952756,0.677165354,2.405511811,0.464566929,3.204724409,1.122047244,1.118110236,3.732283465,1.637795276,1.850393701,1.881889764,0.590551181,1.362204724,0.818897638,1.177165354,1.413385827,0.42519685,1.330708661,1.251968504,1.779527559,4.271653543,1.177165354,0.846456693,0.125984252,1.992125984,2.807086614,2.086614173,2.783464567,0.165354331,0.866141732,2.421259843,2.877952756,2.748031496,0.897637795,0.830708661,0.480314961,2.066929134,3.192913386,0.846456693,2.059055118,2.61023622,1.866141732,0.507874016,1.507874016,4.614173228,1.75984252,1.649606299,1.188976378,1.043307087,1.236220472,3.866141732
March,0.779527559,2.224409449,1.937007874,2.133858268,2.42519685,0.38976378,1.169291339,2.688976378,0.598425197,2.456692913,2.25984252,4.173228346,2.433070866,4.385826772,2.791338583,1.582677165,2.618110236,1.618110236,1.846456693,2.350393701,2.177165354,2.303149606,0.421259843,1.377952756,1.708661417,0.826771654,1.578740157,1.641732283,1.417322835,0.42519685,1.811023622,0.811023622,0.503937008,3.692913386,1.68503937,0.736220472,1.566929134,1.633858268,1.637795276,1.75984252,2.826771654,1.039370079,1.665354331,0.472440945,0.811023622,3.003937008,1.011811024,0.996062992,2.413385827,1.385826772,3.267716535,1.921259843,1.937007874
April,2.169291339,0.771653543,1.968503937,2.11023622,1.720472441,2.334645669,0.496062992,1.661417323,0.405511811,1.31496063,1.783464567,2.712598425,0.728346457,1.720472441,1.122047244,3.783464567,0.157480315,1.456692913,2.082677165,2.043307087,1.204724409,2.496062992,1,2.318897638,2.366141732,3.015748031,1.559055118,0.92519685,1.696850394,0.476377953,4.204724409,1.704724409,5.220472441,2.551181102,1.350393701,1.385826772,3.007874016,2.31496063,1.114173228,0.035433071,2.192913386,1.106299213,1.023622047,0.066929134,4.716535433,1.566929134,3.468503937,0.578740157,2.137795276,0.318897638,2.472440945,1.059055118,1.476377953
May,2.779527559,3.122047244,0.897637795,1.850393701,2.098425197,2.803149606,0.492125984,1.893700787,1.019685039,1.606299213,2.606299213,4.047244094,1.263779528,3.12992126,1.980314961,2.818897638,3.098425197,3.433070866,2,2.003937008,1.338582677,0.437007874,0.122047244,0.275590551,1.586614173,1.641732283,2.787401575,1.125984252,1.141732283,1.37007874,0.602362205,1.692913386,2.799212598,1.236220472,2.464566929,1.480314961,1.929133858,0.795275591,3.228346457,3.968503937,2.669291339,1.051181102,0.696850394,1.161417323,0.881889764,1.972440945,3.141732283,1.787401575,2.547244094,2.456692913,1.677165354,1.11023622,0.039370079
June,2.539370079,0.996062992,3.330708661,6.114173228,1.291338583,2.035433071,2.996062992,0.311023622,0.688976378,2.948818898,1.433070866,1.114173228,2.842519685,1.149606299,3.102362205,1.204724409,1.401574803,3.909448819,0.669291339,3.192913386,2.287401575,1.066929134,1.102362205,3.003937008,0.850393701,1.744094488,0.937007874,0.381889764,0.350393701,2.614173228,4.732283465,2.901574803,0.834645669,1.334645669,1.842519685,1.968503937,1.334645669,0.901574803,0.437007874,3.909448819,1.948818898,0.850393701,0.700787402,3.082677165,4.850393701,0.826771654,2.181102362,0.972440945,2.255905512,1.476377953,0.255905512,3.224409449,2.736220472
July,3.118110236,1.854330709,2.614173228,0.748031496,1.011811024,2.799212598,1.397637795,2.503937008,1.866141732,0.669291339,2.783464567,0.75984252,2.204724409,2.622047244,1.149606299,1.330708661,0.751968504,1.712598425,1.874015748,1.767716535,3.086614173,0.543307087,0.374015748,2.980314961,2.05511811,1.736220472,0.429133858,0.81496063,1.893700787,1.275590551,1.161417323,2.082677165,1.909448819,1.413385827,2.913385827,1.492125984,1.12992126,2.586614173,0.842519685,4.551181102,3.015748031,2.803149606,1.830708661,1.618110236,3.149606299,1.374015748,1.38976378,2.381889764,0.681102362,4.822834646,0.551181102,1.38976378,1.25984252
August,2.598425197,2.874015748,2.677165354,2.496062992,1.377952756,2.507874016,3.244094488,1.011811024,0.535433071,5.192913386,1.984251969,1.334645669,3.460629921,1.480314961,1.838582677,0.68503937,1.271653543,2.976377953,3.334645669,0.940944882,2.051181102,2.307086614,1.405511811,0.338582677,4.318897638,1.090551181,1.559055118,0.12992126,2.350393701,3.346456693,0.92519685,5.05511811,1.523622047,3.377952756,0.862204724,0.559055118,5.366141732,2.043307087,1.220472441,1.594488189,2.732283465,1.196850394,3.830708661,5,1.330708661,0.818897638,3.291338583,3.059055118,1.078740157,2.334645669,1.633858268,1.397637795,3.748031496
September,5.409448819,0.578740157,2.133858268,0.334645669,0.905511811,1.775590551,5.736220472,3.881889764,4.362204724,0.688976378,0.893700787,0.519685039,3.161417323,4.228346457,1.763779528,1.748031496,3.598425197,0.547244094,1.236220472,1.299212598,1.161417323,1.673228346,1.496062992,1.862204724,4.468503937,3.374015748,2.157480315,3.720472441,0.578740157,0.248031496,3.44488189,3.681102362,3.405511811,2.212598425,1.05511811,0.196850394,0.842519685,1.901574803,1.929133858,1.578740157,1.724409449,0.594488189,1.732283465,1.527559055,1.81496063,1.976377953,0.330708661,1.787401575,2.279527559,3.011811024,1.535433071,2.87007874,0.763779528
October,2.287401575,0.149606299,0.519685039,2.24015748,1.118110236,1.118110236,2.480314961,0.822834646,4.232283465,1.775590551,0.161417323,2.244094488,2.956692913,2.881889764,5.137795276,2.169291339,2.173228346,1.047244094,2.401574803,6.082677165,3.011811024,2.523622047,1.31496063,1.661417323,2.271653543,3.748031496,2.874015748,1.181102362,1.661417323,2.11023622,4.539370079,2.181102362,6.031496063,3.897637795,3.535433071,1.287401575,4.452755906,2.204724409,5.417322835,1.381889764,2.07480315,1.724409449,2.098425197,1.354330709,5.039370079,3.653543307,3.724409449,2.011811024,1.05511811,0.614173228,2.511811024,4.236220472,6.488188976
