STRATFIELD-TURGIS (BYLANDS)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU705596,Long,-0.989476,Lat,51.331135,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.03,0.72,2.74,2.71,1.07,0.97,2.54,3.27,,,,,,,,,,,,,,,,,,,,,,,2.36,3.6,1.35,3.85,1.33,2.14,1.71,1.65,0.37,3.48,4.53,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.43,1.21,2.72,3.85,1.45,0.98,1.51,6.4,,,,,,,,,,,,,,,,,,,,,,,4.16,2.04,0.79,0.93,1.59,0.19,4.34,0.07,2.47,1.87,3.74,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4.02,0.93,0.76,1.11,2.01,1.6,3.58,1.14,,,,,,,,,,,,,,,,,,,,,,,3.14,2.45,0.09,1.28,0.18,1.55,1.92,2.21,0.52,1.94,3.41,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.23,1.52,2.63,1.36,2.45,0.96,1.68,1.77,,,,,,,,,,,,,,,,,,,,,,,1.88,1.78,0.91,2.24,3.02,2.76,1.22,1.11,3.3,1.47,1.8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.26,2.09,0.94,1.67,0.52,2.53,3.07,2.97,,,,,,,,,,,,,,,,,,,,,,,1.21,2.47,1.32,2.24,3.58,4.79,1.9,0.51,0.79,0.71,2.7,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.38,1.97,1.29,2.75,1.77,2.3,5.2,0.71,,,,,,,,,,,,,,,,,,,,,,,3.34,2.56,1.75,0.68,1.94,1.08,3.75,1.33,2.93,3.66,1.38,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.86,1.37,0.39,0.45,0.63,2.48,1.19,4.29,1.65,,,,,,,,,,,,,,,,,,,,,,,5.47,1.76,0.75,2.53,3.71,1.57,1.07,1.76,0.91,3.28,0.9,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.73,1.96,1.16,0.2,2.28,2.33,3.77,3.26,2.8,,,,,,,,,,,,,,,,,,,,,,,2.95,2.53,0.95,2.81,4.22,1.99,0.32,2.81,2.65,0.97,1.12,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.05,2.08,1.04,1.87,0.88,1.45,1.48,2.23,1.41,,,,,,,,,,,,,,,,,,,,,,,4.82,1.87,0.19,3.4,1.77,2.61,5.18,1.71,3.02,3.23,1.99,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.57,0.97,3.76,2.44,2.47,2.4,1.56,8.83,1.68,,,,,,,,,,,,,,,,,,,,,,,1.67,4.74,3.39,1.43,0.5,3.75,1.59,1.3,3.2,1.57,2.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.21,1.09,2.86,4.3,2.12,0.47,2.41,1.76,1.64,,,,,,,,,,,,,,,,,,,,,,,3.44,2.45,7.29,4.32,3.35,1.11,0.73,2.07,3.97,3,1.13,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,3.65,3.48,2.65,1.34,3.59,4.27,1.7,3.13,2.46,,,,,,,,,,,,,,,,,,,,,,,3.49,2.55,5.42,2.49,0.56,0.65,0.47,6.07,2.44,2.02,2.72,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,23.3,20.3,21.68,25.42,22.67,21.45,41.08,27.9,,,,,,,,,,,,,,,,,,,,,,,37.93,30.8,24.2,28.2,25.75,24.19,24.2,22.6,26.57,27.2,28.17,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_05_pt1-page-314 added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
