CAVERSHAM-ST-PETERS-HILL-OBSERVER-SARGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU706752,Long,-0.98494142,Lat,51.47137,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,804/3 was 1072/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.16,1.92,1.97,1.63,0.64,4.34,4.52,2.36,4.89,2.26,2.99,2.98,4.92,1.57,1.48,2.03,1.57,4.79,1.27,0.59,2.83,1.6,0.81,1.48,2.66,3.3,1.64,2.56,2.62,
February,1.67,0.15,3.3,0.12,2.24,1.96,4.35,0.48,1.15,2.22,2.15,1.26,1.4,1.17,1.59,2.26,1.35,1.03,1.22,3.76,4.5,0.7,1.73,2.44,1.32,0.23,3.5,2.82,,
March,0.1,1.29,2.79,2.17,0.44,2.12,3.54,0.22,1.21,2.32,2.81,2.11,0.6,0.25,0.79,0.84,5.17,0.68,1.75,0.73,3.67,2.38,0.34,1.98,0.95,0.58,1.55,1.19,,
April,2.72,2.65,1.13,1.3,3.22,1.65,2.15,0.07,3.02,2.43,1.5,1.23,0.82,1.18,1.23,1.85,2.09,1,1.21,2,2.81,1.19,2.06,0.29,0.32,1.62,0.22,1.01,,
May,2.87,4.61,2.34,0.48,1.36,0.54,3.1,1.74,1.25,1.1,1.88,2.96,2.04,0.33,1.59,3.23,1.78,3.57,2.13,1.26,2.56,3.42,1.87,3.71,4.13,0.15,1.17,1.38,,
June,0.82,1.23,1.56,0.93,4.45,3.5,1.96,0.53,1.2,0.71,1.97,0.43,1.04,1.3,2.42,2.43,1.37,1.5,0.46,1.25,1.1,1.39,1.45,3.74,1.83,2.07,2.39,3.68,,
July,3.82,2.4,1.06,1.59,0.55,3.9,1.11,1.94,3.71,2.89,4.64,1.64,1.8,1.85,2.49,1.94,1.81,0.8,2.26,4.06,1.22,0.39,2.98,2.41,0.19,2.03,3.04,2.43,,
August,4.49,2.44,0.37,2.25,2.41,0.44,0.57,2.27,2.72,0.01,4.16,1.57,1.52,1.25,1.3,3.9,0.27,3.26,1.45,3.07,3.93,2.19,1.77,3.36,0.44,4.95,2.58,3.7,,
September,1.65,2.49,2.79,1.53,3.68,2.41,2.03,1.12,0.81,1.23,0.14,1.09,1.76,2.08,2.08,3.3,0.88,2.42,1.75,3.2,3.37,2.18,2.11,1.73,1.97,2.6,2.6,3.49,,
October,0.48,3.79,1.6,1.39,3.34,1.77,2.63,2.89,5.05,2.88,1.36,3.84,3.92,4.01,3.1,1.44,0.32,2.43,6.56,0.55,0.64,3.64,2.92,1.74,2.53,1.5,2.08,3.12,,
November,3.2,1.23,1.18,1.51,4.34,3.19,1.49,3.25,4.64,6.53,2.69,1.43,1.87,4.54,0.12,5.27,1.28,1.83,2.98,4.26,6.63,2.98,1.09,4.5,1.73,0.7,2.32,2.53,,
December,0.65,0.57,0.47,6.42,2.75,2.15,2.99,3.17,1.26,1.35,1.44,2.99,1.52,1.51,2.9,1.73,2.25,3.43,1.21,1.72,1.75,2.56,0.55,2.62,2.33,3.08,2.18,3.17,,
Total,23.63,24.77,20.56,21.32,29.42,27.97,30.44,20.04,30.91,25.93,27.73,23.53,23.21,21.04,21.09,30.22,20.14,26.74,24.25,26.45,35.01,24.62,19.68,30,20.4,22.81,25.27,31.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is close to St Peters Hill at the right relationship to church. Altitude a bit low. Gauge may have moved in 1946 but based on relationship to church abd station probably not very far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Met Office changed the station number in 1938 when they realised that the location was in Berkshire and not Oxfordshire; the location did not change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
