﻿READING-EARLEY-2ND-CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU738738,Long,-0.93917018,Lat,51.458376,Elevation,141,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,781/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,
January,,,,,,,,,4.55,2.31,2.55,3.01,4.11,1.42,1.24,1.72,1.35,4.1,1.27,0.52,2.37,1.66,0.75,1.11,2.75,3.21,1.56,2.69,2.7,2.54,,,,,,,,,,
February,,,,,,,,,1.07,1.91,2.1,1.02,1.12,1.01,1.61,2.17,1.06,0.84,1.11,3.53,4.36,0.61,1.52,2.27,1.19,0.16,2.92,2.87,0.2,2.01,,,,,,,,,,
March,,,,,,,,,1.16,2.5,2.57,1.75,0.5,0.12,0.67,0.9,4.46,0.68,1.6,0.74,3.7,1.83,0.34,1.91,0.92,0.51,1.24,1.37,2.51,1.17,,,,,,,,,,
April,,,,,,,,,2.84,1.85,1.5,1.23,0.75,1.19,1.05,2.08,1.84,1.03,1.22,2.02,2.87,1.27,2.12,0.23,0.31,1.44,0.19,0.95,2.34,0.39,,,,,,,,,,
May,,,,,,,,,1.37,1.29,1.35,2.91,1.95,0.32,1.56,3.25,1.71,2.83,1.7,1.29,2.37,3.23,1.52,2.54,4.3,0.19,1.1,1.87,0.23,1.67,,,,,,,,,,
June,,,,,,,,,1.28,0.73,1.96,0.45,1.15,1.42,2.56,2.26,1.13,1.41,0.41,1.79,1.57,1.3,1.25,3.81,1.88,2.02,1.75,3.45,1.94,1.09,,,,,,,,,,
July,,,,,,,,,3.01,2.16,4.61,1.52,1.57,1.51,2.38,1.86,1.36,0.64,1.03,4.22,0.8,0.28,3.16,2.31,0.17,1.93,3.77,2.15,2.33,2.87,,,,,,,,,,
August,,,,,,,,,2.49,0.01,3.98,1.52,1.36,1.26,1.55,3.62,0.2,2.34,1.46,2.72,4.22,2.19,1.86,2.87,0.52,3.74,2.67,4.05,1.25,3.67,,,,,,,,,,
September,,,,,,,,0.87,0.81,1.31,0.1,1.03,1.39,1.98,1.97,3.34,0.85,2.26,1.38,2.87,2.62,2.26,1.96,1.65,1.99,2.74,2.81,3.83,0.02,3.2,,,,,,,,,,
October,,,,,,,,2.6,4.76,2.66,1.42,3.47,3.3,3.24,3.08,1.42,0.43,2.08,6.59,0.46,0.59,3.49,3.23,1.79,2.7,1.33,2.06,2.47,2.52,6.78,,,,,,,,,,
November,,,,,,,,3.09,4.54,6.14,2.6,1.49,1.65,3.87,0.17,4.33,1.07,1.48,2.63,4.62,6,2.74,0.89,4.75,1.56,0.55,2.27,2.42,2.16,3.62,,,,,,,,,,
December,,,,,,,,2.72,1.09,1.32,1.25,2.61,1.13,1.5,2.59,2.1,2.13,2.96,1.05,1.51,1.63,2.34,0.52,2.53,2.22,3.4,2.06,2.75,3.76,3.31,,,,,,,,,,
Total,,,,,,,,,28.97,24.19,25.99,22.01,19.98,18.84,20.43,29.05,17.59,22.65,21.45,26.29,33.1,23.2,19.12,27.77,20.51,21.22,24.4,30.87,21.96,32.32,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is the Seed Trial Grounds. Altitudes match. The gauge position is 400m from the position inferred in the earlier records (1889 to 1912) and with the gap in time probably suggests the gauges were not in the same position.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
