STRATFIELD-TURGIS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU695604,Long,-1.004,Lat,51.3386,Elevation,200,ft,,,,,,,,,,,,
Station no,RR102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.89,4.08,1.12,3.43,0.57,1.19,1.41,2.39,3.03,,,,,
February,,,,,,,2.11,1.11,1.63,3.21,3.67,2.3,1.59,4.42,1.91,,,,,
March,,,,,,,3.32,2.05,1.18,0.48,1,1.59,0.99,0.77,1.72,,,,,
April,,,,,,,1.99,2.48,2.35,3.31,1.73,0.53,3.46,1.02,1.69,,,,,
May,,,,,,,0.32,2.02,2.71,3.59,0.65,1.04,1.43,1.91,0.74,,,,,
June,,,,,,,2.14,1.48,1.34,5.12,2.73,2.04,2.08,1.88,2.61,,,,,
July,,,,,,,1.28,2.6,0.98,2.86,4.9,1.89,1.75,2.95,,,,,,
August,,,,,,,2.29,2.28,4.38,7.09,1.03,5.69,1.74,0.64,,,,,,
September,,,,,,,3.74,1.38,0.75,2.48,4.62,1.68,2.84,3.23,,,,,,
October,,,,,,,1.85,1.75,3.02,0.83,4.74,1.7,5.95,1.94,,,,,,
November,,,,,,,4.05,5.05,3.74,0.88,2.21,3.27,3.05,2.74,,,,,,
December,,,,,,,5.24,1.7,1.49,1.21,2.82,2.85,2.19,0.57,,,,,,
Total,,,,,,,29.22,27.98,24.69,34.49,30.67,25.77,28.48,24.46,,,,,,
