"HAFTON, ARGYLSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 176 799,Long,-4.924765,Lat,55.977599,Elevation,40,ft,,,,,,,,,,,,
Station no,RR1935,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,11.86,8.45,1.71,4.09,7.35,7.13,11.79,6.61,9.67,10.59,15.09,7.15,8,,,,
February,,,,2.84,7,1.18,6.8,5.28,1.82,8.37,6.99,6.43,2.63,8.5,6.02,5.4,,,,
March,,,,1.85,4.52,4.31,0.33,4.8,3.49,11.09,8.18,11.96,4.21,4.07,8.19,3.66,,,,
April,,,,4,1.86,3.81,2.71,3.76,4.56,6.84,2.5,0.39,7.21,8.07,3,1.68,,,,
May,,,,7.13,5.51,2.54,3.94,3.75,7.59,0.3,4.17,1.79,6.46,4.37,2.09,4.22,,,,
June,,,,4.23,3.87,3.33,6.79,2.86,5.26,1.6,5.18,3.87,5.51,4.94,5.14,1.84,,,,
July,,,,7.15,3.94,3.5,3.21,4.7,5.55,4.04,2.96,3.32,9.23,0.71,4.86,3.35,,,,
August,,,,4.02,4.22,6.9,5.33,2.46,4.96,5.78,5.94,15.06,4.52,5.91,3.28,8,,,,
September,,,,11.25,5.18,2.57,2.79,4.78,4.85,9.81,4.04,6.93,4.24,10.66,9.14,2.06,,,,
October,,,,6.54,8.94,8,3.94,5.89,9.91,5.23,10.56,7.65,16.5,7.36,3.1,5.54,,,,
November,,,,0.56,4.68,2.22,3.18,4.36,2.61,7.16,2.23,8.93,5.77,7.35,8.81,4.82,,,,
December,,,,6.02,12.64,4.2,7.42,11.09,10.41,7.32,2.47,6.14,14.45,12.61,7.73,7.85,,,,
Total,,,,67.45,70.81,44.27,50.53,61.08,68.14,79.33,61.83,82.14,91.32,89.64,68.51,56.42,,,,
