"BRAMHALL, BRAMHALL LANE",,,,,,,,,,,,
Grid ref,SJ893857,Long,-2.162269,Lat,53.368055,,,,,,,
Station no,RR6146,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.54,,
February,,,,,,,,,,1.58,,
March,,,,,,,,,,2.41,,
April,,,,,,,,,,3.11,,
May,,,,,,,,,,1.73,,
June,,,,,,,,,,1.59,,
July,,,,,,,,,,4.71,,
August,,,,,,,,,,8.48,,
September,,,,,,,,,,2.14,,
October,,,,,,,,,,5.15,,
November,,,,,,,,,,1.05,,
December,,,,,,,,,,5.31,,
Total,,,,,,,,,,33.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.00,,
