BRAMHALL-BRAMHALL-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ892860,Long,-2.1637818,Lat,53.37075,Elevation,250,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.54,3.43,1.23,2.85,3.24,2.07,5.33,2.82,2.65,2.35,3.37,3.56,4.45,3.36,3.13,2.88,2.43,2.54,3.47,,,
February,,,,,,,,,,1.58,3.17,2.57,1.1,1.37,2.07,3.13,3.87,0.78,3.85,0.82,2.93,0.39,3.56,4.46,0.74,4.74,2.88,,,,
March,,,,,,,,,,2.41,0.75,1.83,4.83,3.2,4.76,1.24,2.51,1.96,1.46,4.6,3.2,2.61,2.12,1.76,1.36,1.3,2.4,,,,
April,,,,,,,,,,3.11,4,2.47,0.65,3.41,1.3,1.56,2.72,2.41,1.47,1.63,4.94,1.32,2.54,2.77,1.84,2.32,0.88,2.5,,,
May,,,,,,,,,,1.73,2.57,0.98,2.8,2.41,2.01,1.59,2.51,3.02,2.96,1.48,5.1,3.63,1.14,3.38,4.68,4.22,5.04,1.45,,,
June,,,,,,,,,,1.59,2.54,2.94,4.07,2.18,1.92,2.33,3.26,2.14,2.19,2.3,2.91,0.48,2.35,1.07,3.04,0.18,2.94,5.63,,,
July,,,,,,,,,,4.71,5.22,0.37,3.67,1.2,3.8,4.03,2.24,1.52,5.43,1.65,6.24,1.03,4.32,4.33,3.87,1.96,3.18,3.44,,,
August,,,,,,,,,,3.48,5.74,2.38,6.79,2.12,3.41,4.9,2.19,5.24,3.02,3.5,2.03,4.92,5.07,3.88,5.56,3.44,4.07,3.88,,,
September,,,,,,,,,,2.14,0.35,4.05,1.88,1.62,2.86,1.1,2.38,1.69,8.32,1.18,2.45,1.22,2.98,4.08,3.58,4.22,2.73,4.91,,,
October,,,,,,,,,,5.15,1.81,2.34,3.04,1.63,1.87,1.31,3.77,4.75,2.61,2.08,1.7,2.23,0.37,3.24,3.98,4.51,3.26,1.91,,,
November,,,,,,,,,,1.05,5.22,3.12,2.11,2.71,3.96,1.61,2.98,3.26,1.76,2.35,0.71,1.44,1.63,3.86,1.4,2.45,4.4,2.82,,,
December,,,,,,,,,,5.31,2.44,4.6,3.42,2.83,5.2,5.57,2.7,1.76,5.91,5.51,2.18,4.7,3.9,4.54,3.2,2.75,1.27,0.56,,,
Total,,,,,,,,,,33.8,37.24,28.88,37.21,27.92,35.23,33.7,33.95,31.18,41.33,30.47,37.95,28.42,33.34,40.5,36.13,34.52,35.59,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Bramhall Lane at stated relationship to church. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
