SWAY-SWAYWOOD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ273986,Long,-1.6134,Lat,50.7865,Elevation,140,ft,,,,,,,,,,,,,
Station no,635,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.61,5.15,2.23,6.57,1.29,4.86,2.54,2.09,2.16,2.77,0.89,5.46,,,,
February,,,,,,4.56,2.24,3.86,2.28,1.23,0.72,2.15,0.14,3.78,0.04,3.26,3.55,,,,
March,,,,,,0.31,0.5,3.2,3.05,0.21,1.65,1.35,1.36,3.35,3.01,0.97,2.94,,,,
April,,,,,,2.84,3.48,2.77,2.32,1.24,2.81,2.91,2.81,1.76,2.49,3.51,1.92,,,,
May,,,,,,3.8,2.01,0.75,1.19,2.75,2.6,3.11,3.88,2.34,0.84,1,0.56,,,,
June,,,,,,0,3.92,2.66,2.39,1.48,0.8,2.72,1.86,1.05,1.3,4.51,3.52,,,,
July,,,,,,3.27,1.52,3.08,1.69,2.5,1.92,5.54,3.04,2.19,1.58,0.85,4.21,,,,
August,,,,,,3.39,1.01,4.36,1.95,2.08,3.41,4.08,0.89,0.96,4.46,3.09,0.27,,,,
September,,,,,,3.29,0.75,5.74,1.38,0.59,3.54,1.68,4.01,2.7,2.77,4.05,3.64,,,,
October,,,,,,4.11,3.4,2.48,6.91,4.71,2.93,0.86,6.2,1.82,1.76,5.59,1.34,,,,
November,,,,,,3.34,9.73,4.01,3.01,10.18,5.85,4.21,2.26,0.63,3.5,8.93,3.98,,,,
December,,,,,,4.29,0.55,4.51,2.82,6.9,4.29,0.74,1.18,1.25,10.15,4.38,3.55,,,,
Total,,,,,,37.81,34.26,39.65,35.56,35.16,35.38,31.89,29.72,23.99,34.67,41.03,34.94,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge from Stumperlow Hall Yorks,,,,,,,,,,,,,,,,,,,,,
1936 Record terminated as observer moved,,,,,,,,,,,,,,,,,,,,,
