AXMINSTER-GREAT-TRILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SY291956,Long,-3.0061,Lat,50.75577,Elevation,200,ft,,,,,,,,,,,,
Station no,RR6393,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.22,4.8,3.8,1.28,0.45,4.45,2.87,2.08,3.1,4.03,5.3,,,,
February,,,,,,4.44,1.3,0.47,0.65,1.5,1.07,0,1.75,5.1,2.74,0.05,,,,
March,,,,,,1.89,3.98,1.67,4.04,2.23,1.33,2.72,0.6,0.18,1.4,3,,,,
April,,,,,,3.73,2.75,0.58,1.54,2.7,3.93,1.3,0.9,0.13,2.9,2.5,,,,
May,,,,,,3.83,3.66,1.76,1.82,1.7,3.6,3.27,0.95,0.9,2.65,0.38,,,,
June,,,,,2.34,1.24,0.56,0.19,3.65,0.45,2.96,1.76,1.15,0.5,2.2,1.17,,,,
July,,,,,4.22,0.14,2.73,0.96,5.7,3.28,3.94,2.9,2.3,3.83,4.7,2.3,,,,
August,,,,,1.16,1.62,1.8,2.3,2.84,2.85,3.55,6.68,3.2,1,2.4,2.67,,,,
September,,,,,1.91,4.44,2.26,2.51,0.9,1.46,1.04,1.54,2,1.66,2.33,1.37,,,,
October,,,,,0.46,6.56,4.94,3.26,1.5,5.2,0.74,9.87,5.07,2.5,4.23,3.64,,,,
November,,,,,1.72,3.95,2.86,3.3,8.3,1.52,3.5,6.23,3.05,2.4,7.43,7.78,,,,
December,,,,,3.96,2.64,6.9,3.07,3.12,1.93,2.7,4.32,1.1,3.82,3.27,3.24,,,,
Total,,,,,,37.7,38.54,23.87,35.34,25.27,32.81,43.46,24.15,25.12,40.28,33.4,,,,
,,,,,,,,,,,,,,,,,,,,
Great Trill is in valley rising steeply to SW and SE,,,,,,,,,,,,,,,,,,,,
Elevation on sheet at least 300yds away,,,,,,,,,,,,,,,,,,,,
