CHARD-CRICKET-ST-THOMAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,ST374088 ,Long ,-2.891092,Lat ,50.875291,Elevation ,444,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,,,,1.81,,,,,,,,,1.46,6.3,2.72,4.44,7.71,6.83,4.08,5.53,1.59,9.48,2.13,5.13,0.65,3.61,1.97,4.8,4.94,3.84,6.81,1.21,1.16,0.9,5.85,3.81,2.77,3.32,5.35,4.66,0.8,2.06,0.45,6.24,5.63,4.12,0.69,4.67,5.67,0.98,7.5,1.13,1.21,1.54,3.9,1.38,6.33,5.7,1.15,4.03,1.66,0.99,5.11,9.15,5.89,3.57,6.53,1.88,3.72,4.25,5.01,,6,2.07,6.7,3.02,4.97,4.52,4.32,0.93,6.91,7.91,4.01,7.19,2.11,5.29,4.73,9.42,2.86,2.21,5.48,4.3,,,0.78,4.18,3.42,0.87,2.57,5.62,6.06,3.67,5.02,6.35,4.44
February ,,,,,,,,,,2.9,,,,,,,,,2.53,3.94,4.41,2.72,5.28,2.68,4.63,2.71,4.51,1.68,2.65,5.68,6.3,6.29,2.96,7.28,4.16,6.49,0.98,0.31,0.49,1.51,1.78,0.04,2.06,5.82,3.49,0.05,0.84,4.36,2.68,5.3,7.25,1.75,2.44,2.05,6.09,0.65,4.3,1.67,2.34,0.57,4.54,1.79,4.03,1.33,5.98,8.58,7.42,1.39,2.05,4.46,0.85,0.24,3.39,10.95,0.78,5.01,3.22,,3,1.69,1.03,2.13,0.09,7.24,0.34,4.74,4.47,7.27,1.48,3.23,4.86,5.28,0.41,1.69,0.54,3.13,3.52,1.48,,,7.2,6.8,0.88,1.34,3.89,3.44,0.18,6.42,4.8,0.61,6.24
March ,,,,,,,,,,1.8,,,,,,,,,3.7,2.65,2.26,2.04,4.75,4.34,0.72,1.48,4.13,2.44,2.07,0.68,1.68,3.26,1.52,1.43,4.13,2.08,4.64,1.83,4.96,3.38,1.94,1.82,0.92,0.58,2.84,3.18,3.72,4.96,1.09,0.8,1.67,3.43,1.95,4.9,2.23,6.16,1.55,0.71,4.57,2.86,1.04,2.68,6.78,4.86,5.91,0.77,5.09,3.54,1.62,6.09,3.65,1.83,3.99,2.04,2.01,0.39,0.36,,3.1,0.29,2.62,1.27,3.52,4.98,3.46,1.52,5.12,6.63,0.17,1.6,3.28,4.19,3.26,1.4,0.31,1.49,1.23,8.05,,,2.01,4.22,2.97,0.82,4.99,1.68,1.5,4.28,2.17,5.25,3.55
April ,,,,,,,,,,3,,,,,,,,,2.03,1.12,0.43,5.73,3,0.95,3.05,1.7,4.13,5.18,4.48,4.14,2.39,2.07,5.55,1.53,2.95,2.51,3.28,1.23,2.54,3.97,4.42,0.81,0.74,0.18,3.13,3.69,0.49,5.13,1.02,3.97,1.39,3.63,1.2,2.22,1.29,1.95,0.85,4.11,2.28,5.8,2.44,2.74,0.1,4.72,1.31,1.19,0.75,2.1,2.61,2.81,5.21,0.97,3.96,3.38,4.15,3.26,2.42,,,1.15,4.07,2.12,3.58,2.31,3.59,5.06,3.03,3,0.12,3.37,1.91,4.01,2.27,1.11,2.17,1.29,2.49,2.63,,,2.77,2.83,2.75,4.2,0.34,1.01,1.16,0.14,1.1,4.51,4.25
May ,,,,,,,,,,2.29,,,,,,,,,2.29,6.38,2.21,0.79,2.65,1.35,0.92,4.78,0.47,3.88,6.42,4.19,1.3,1.57,1.92,2.8,1.04,3.57,3.49,1.89,2.75,2.38,1.91,4.75,0.82,1.17,2.96,0.22,0.23,2.03,5.7,0.95,2.63,1.92,3.02,4.49,2.4,0.11,2.75,2.38,2.51,1.99,2.9,1.53,2.06,3.39,2.03,2.43,2.93,1.75,1.77,0.85,1.77,2.71,0.69,1.09,4.1,5.42,1.91,,1.5,2.92,1.8,3.75,5.46,2.32,1.12,1.83,0.96,3.1,2.89,0.96,2.38,2.29,7.18,3.38,1.47,4.23,5.86,2.49,,,1.81,2.7,3.41,1.91,3.22,4.14,0.64,2.67,3.3,1.23,1.95
June ,,,,,,,,,,2,,,,,,,,,0.92,1.05,0.96,2.45,5.5,2.51,2.32,3.97,1.87,1.59,2.16,5.81,1.53,3.28,4.4,2.72,2.19,1.3,0.94,0.78,2.85,,3.42,1.94,2.1,0.72,2.49,1.78,2.87,3.88,1.28,0.6,2.31,1.8,4.38,3.06,1.41,3.6,0.92,1.91,0.25,3.53,3.15,2.25,5.81,0.56,2.33,1.59,2.49,3.94,1.18,0.65,1.94,0.78,1.81,0.57,3.25,0,3.83,,2,1.76,0.3,2.95,3.12,1.48,0.77,4.87,2.3,1.73,1.92,3.84,0.77,1.62,0.52,1.65,2.41,3.32,2.95,2.3,,,0.6,1.28,2.43,3.05,4.01,3.23,3,2.97,3.94,1.28,1.55
July ,,,,,,,,,,1.31,,,,,,,,,0.58,0.71,0.34,4.4,3.82,2.62,1.56,5.39,0.92,2.9,1.54,3.34,4.49,2.34,5.36,2.89,3.09,0.1,2.79,1.14,8,3.43,4.61,3.57,3.22,5.34,4.86,3.45,1.86,1.29,0.04,0.45,0.95,2.49,3.36,4.75,5.4,0.29,1.28,1.65,2.58,3.61,3.7,0.3,3.34,0.57,5.44,5.22,1.09,4.85,5.26,2.92,6.01,0.98,6.64,0.97,4.93,2.82,4.01,,1.6,1.34,1.91,4.26,3.1,3.23,2.33,0.34,7.53,1.67,4.21,5.56,2.78,2.05,2.59,3.57,2.52,2.42,1.65,3.08,,,3.56,2.55,0.89,4.11,2.46,3.02,4.13,3.64,3.04,1.93,4.52
August ,,,,,,,,,,2,,,,,,,,,8.28,0.68,2.41,1.72,2.07,4.99,2.32,3.05,3.06,5.36,4.47,5.56,0.52,5.59,3.15,1.18,0.36,1.2,1.89,1.77,2.49,3.23,3.41,7.19,4.2,1.37,4.38,3.34,2.27,5.18,1.33,1.47,2.72,1.21,4.13,4.56,4.61,3.06,1.54,1.68,3.32,2.48,5.81,1.38,7.74,1.37,4.32,2.87,6.41,6.58,2.63,3.78,1.93,1.57,5.18,2.84,3.33,3.36,2.02,,2.17,2.69,4.32,3.81,1.63,1.23,4.35,3.37,0.31,1.08,3.38,2.9,0.06,4.12,5.53,3.8,3,2.52,5.29,1.58,,,4.94,5.37,5.32,2.48,3.9,1.22,6.91,3.69,3.79,2.62,5.49
September ,,,,,,,,,,3,,,,,,,,,7.65,5.52,1.53,6.18,2.66,2.86,9.11,2.59,7.11,3.01,2.15,3.77,4.54,1.98,3.67,7.38,2.44,5.58,2.58,3.46,1.02,1.57,1.29,2.09,3.35,2.2,3.02,1.33,7.61,3.83,1.91,3.29,1.87,4.86,2.91,5.28,2.67,2.2,1.18,0.88,2.8,2.56,0.52,1.47,1.57,2.57,2.4,1.83,3.06,2.14,6.76,2.88,2.32,0.89,2.38,2.97,5.77,4.52,0.57,,1.87,0.89,4.31,2.81,5.45,2.37,3.38,4.85,2.68,4.05,2.19,1.38,2.04,1.48,3.1,2.83,2.41,2.86,7.94,1.66,,,4.32,5.5,4.77,4.26,3.27,1.75,5.35,4.42,5.82,0.18,6.02
October ,,,,,,,,,,2.1,,,,,,,,,3.53,2.16,6.69,4.46,6.46,2.33,5.23,8.59,3.03,2.52,5.57,1.44,6.16,2.31,8.74,3.74,0.68,6.1,6.8,3.19,2.15,4.67,2.28,12.54,5.89,3.86,5.47,4.48,3.19,2.25,3.99,3.08,0.75,2.86,3.07,9.57,1.54,2.47,6.95,10.08,4.68,7.07,6.89,4.27,5.83,6.92,4.48,7.66,7.51,4.47,2.93,1.88,2.63,1.13,1.99,5.78,7.16,5.13,5.01,,8.97,5.06,3.12,0.72,7.62,3.03,3.47,4.87,1.89,5.57,4.26,4.93,5.61,2.51,3.89,6,6.51,5.75,1.66,1.14,,,1.92,1.1,5.55,5.23,3.8,2.94,2.06,3.13,3.89,4.25,12.03
November ,,,,,,,,,,3.1,,,,,,,,,4.64,2.44,3.57,1.59,6.64,5.03,3.13,5.67,6.16,8.45,4.57,0.31,3.84,7.31,4.11,4.92,1.68,4.86,4.06,5.52,8.07,1.95,3.76,6.69,3.85,3.07,7.94,8.26,1.08,0.98,5.36,4.81,2.59,1.12,6.2,2.09,1.78,6.13,4.59,4.12,1.86,0.92,5.17,4.64,1.94,4.27,5.36,3.02,6.75,1.26,4.07,3,2.27,3.66,2.27,2.83,4.53,3.85,11.57,,4.27,12.66,6.36,8.65,2.41,0.87,2.68,8.94,4.47,2.45,6.06,8.5,9.87,3.32,1.46,2.68,7.09,0.81,7.51,3.02,,5.48,7.76,11.11,4.99,2.41,11.16,7.26,1.41,2.99,3.44,8.54,7.31
December ,,,,,,,,,3.4,2,,,,,,,,,8.91,5.97,3.26,3.85,9.02,0.76,5.08,1.47,13.06,2.47,2.67,1.18,4.73,4.41,4.99,1,3.92,2.37,6.39,3.09,4.47,2.65,0.81,5.45,1.25,5.9,3.18,4.04,7.86,7.01,3.77,3.63,7.75,8.13,2.9,5.01,3.76,1.09,1.27,5.95,4.1,6.85,7.96,12.41,5.98,2.63,10.74,9.1,4.78,1.11,4.7,7.03,4.29,2.32,5.39,4.05,6.07,5.02,0.71,,3.74,9.94,4.7,2.11,3.68,1.08,12.61,7.05,5.21,5.41,6,2.59,2.76,2.37,6.67,3.52,4,6.26,5.95,3.7,,1.53,2.9,4.34,3.28,1.05,4.16,6.22,7.96,4.64,7.63,11.36,5.15
Total ,,,,,,,,,,27.31,,,,,,,,,46.52,38.92,30.79,40.37,59.56,37.25,42.15,46.93,50.04,48.96,40.88,41.23,38.13,44.02,48.34,41.67,31.58,40,44.65,25.42,40.95,,35.48,50.7,31.17,33.53,49.11,38.48,32.82,42.96,28.62,34.59,37.51,37.32,36.25,52.65,38.85,28.69,34.68,36.27,32.5,39.78,48.02,36.84,51.51,38.89,51.45,48.29,49.94,34.12,40.69,45.5,38.76,20.65,44.22,39.35,49.8,43.03,40.64,,,42.46,41.24,37.6,44.63,34.66,42.42,48.37,44.88,49.87,36.69,46.05,38.43,38.53,41.61,41.05,35.29,36.29,51.53,35.43,,,40.57,51.98,40.66,31.73,47.77,41.53,40.36,42.66,47.94,48.11,62.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
