"SANDPIT HALL, CHOBHAM",,,,,,,,,,,,
Grid ref,SU987613,Long,-0.584355,Lat,51.342227,,,,,,,
Station no,234,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.45,2.02,3.39,0.52,1.74,0.81,,
February,,,,,2.57,0.69,1.85,1.21,0.96,0.22,,
March,,,,,1.16,3.38,1.22,1.01,2.63,3.38,,
April,,,,,1.06,1.31,0.45,3.28,2.02,1.75,,
May,,,,,2.57,0.47,2.08,1.32,1.25,-999.00,,
June,,,,,0.54,5.14,2.10,2.13,1.17,3.15,,
July,,,,,1.62,0.33,0.25,1.38,2.19,2.74,,
August,,,,,1.51,2.62,0.72,2.32,2.59,2.28,,
September,,,,,1.50,1.87,1.40,0.66,1.53,2.95,,
October,,,,,1.55,1.36,4.19,4.11,2.57,4.00,,
November,,,,,1.45,2.87,3.87,2.17,0.79,0.62,,
December,,,,,0.51,0.72,2.18,3.21,2.14,2.65,,
Total,,,,,18.49,22.78,23.70,23.32,21.58,26.22,,
Calc annual,0.00,0.00,0.00,0.00,18.49,22.78,23.70,23.32,21.58,24.55,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,1.67,,
