NOTTINGHAM MAPPERLEY HALL DRIVE,,,,,,,,,,,,
Grid ref,SK576423,Long,-1.143673,Lat,52.974966,,,,,,,
Station no,RR7218,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.06,,
February,,,,,,,,,,0.72,,
March,,,,,,,,,,3.29,,
April,,,,,,,,,,1.17,,
May,,,,,,,,,,1.19,,
June,,,,,,,,,,2.24,,
July,,,,,,,,,,3.36,,
August,,,,,,,,,,2.90,,
September,,,,,,,,,,2.63,,
October,,,,,,,,,,2.82,,
November,,,,,,,,,,0.46,,
December,,,,,,,,,,4.49,,
Total,,,,,,,,,,26.33,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.33,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
