NOTTINGHAM-MAPPERLEY-HALL (DRIVE),,,,,,,,,,,,,,,,,,,,
Grid ref,SK574424,Long,-1.1466333,Lat,52.975886,Elevation,245,ft,,,,,,,,,,,,
Station no,RR7217,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.06,2.12,0.95,4.01,3.98,,,,,,
February,,,,,,,,,,0.72,1.94,1.67,1.55,0.96,,,,,,
March,,,,,,,,,,3.29,0.61,1.51,2.63,3.03,,,,,,
April,,,,,,,,,,1.17,1.65,0.93,0.25,2.54,,,,,,
May,,,,,,,,,,1.19,2.57,1.07,3.22,2.12,,,,,,
June,,,,,,,,,,2.24,2.38,2.33,3.74,0.7,,,,,,
July,,,,,,,,,,3.36,2.33,0.07,4.22,0.79,,,,,,
August,,,,,,,,,,2.9,3.69,1.92,6.05,2.43,,,,,,
September,,,,,,,,,,2.63,1.01,1.78,0.9,2.18,,,,,,
October,,,,,,,,,,2.82,2.16,2.22,3.32,3.76,,,,,,
November,,,,,,,,,,0.46,3.69,2.39,1.84,1.82,,,,,,
December,,,,,,,,,,4.49,4.88,3.8,4.19,0.82,,,,,,
Total,,,,,,,,,,26.33,29.03,20.64,35.92,25.13,,,,,,
