ST. AUSTELL TRETHURGY,,,,,,,,,,,,
Grid ref,SX042553,Long,-4.754442,Lat,50.364950,,,,,,,
Station no,1928/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.27,6.03,1.72,3.01,6.93,5.89,5.10,7.67,8.61,6.08,,
February,5.50,1.47,2.20,6.88,4.62,0.85,7.01,7.16,0.70,5.58,,
March,6.25,5.07,1.26,4.40,1.64,2.80,6.85,4.46,7.01,3.63,,
April,4.15,3.57,3.17,0.93,1.92,1.41,0.60,1.70,4.51,4.41,,
May,3.35,3.00,4.25,5.16,4.58,1.29,3.66,6.00,1.68,3.06,,
June,0.99,1.53,3.00,4.15,4.10,3.55,4.92,5.68,1.69,3.07,,
July,1.62,1.74,4.88,4.79,0.53,5.42,4.51,4.88,2.84,7.09,,
August,6.37,4.88,2.22,4.60,0.30,5.35,5.49,9.05,6.31,3.84,,
September,5.07,5.39,4.03,5.84,2.99,7.00,5.48,7.63,0.29,6.80,,
October,2.11,8.07,3.47,5.29,4.29,2.84,4.39,4.61,9.08,8.97,,
November,7.07,5.70,3.49,10.45,4.36,3.01,3.48,4.43,10.80,8.70,,
December,4.99,5.76,1.95,5.77,7.21,9.56,4.50,7.62,11.56,7.47,,
Total,53.74,52.21,35.64,61.27,43.47,48.97,55.99,70.89,65.08,68.70,,
Calc annual,53.74,52.21,35.64,61.27,43.47,48.97,55.99,70.89,65.08,68.70,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
