SOUTHAMPTON-SHIRLEY-WARREN-(VICTORIA-LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU386130,Long,-1.45208,Lat,50.91525,Elevation,22,ft,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.26,6.56,1.34,4.56,1.14,2.29,1.57,,,,,,,
February,,,,,,,3.04,1.52,2.56,4.55,3.81,3.87,1.24,,,,,,,
March,,,,,,,3.4,2.24,1.36,0.66,0.51,2.54,1.3,,,,,,,
April,,,,,,,2.39,2.45,3.71,2.86,2.09,0.7,3.53,,,,,,,
May,,,,,,,0.5,2.3,4.63,2.42,0.17,1.08,1.73,,,,,,,
June,,,,,,,1.4,0.95,1.7,4.51,2.75,2.08,3,,,,,,,
July,,,,,,,0.66,3.3,1.35,4.88,4.68,1.71,2.54,,,,,,,
August,,,,,,,3.47,3.16,6.82,6.93,0.97,5.01,1.47,,,,,,,
September,,,,,,,4.25,2.1,1.46,3.19,4.71,2.33,2.7,,,,,,,
October,,,,,,,3.05,2.46,3.51,1.28,4.77,1.41,7.42,,,,,,,
November,,,,,,4.72,4.48,6.81,2.46,0.54,2.84,4.87,4.95,,,,,,,
December,,,,,,1.13,8.02,2.01,1.53,0.53,4.46,3.31,2.7,,,,,,,
Total,,,,,,,35.92,35.86,32.43,36.91,32.9,31.2,34.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Victoria Lodge Millbrook Road,,,,,,,,,,,,,,,,,,,,
