SOUTHAMPTON-SHIRLEY-WARREN-(VINERY-HOUSE-2),,,,,,,,,,,,,,,,,,,,
Grid ref,SU398146,Long,-1.43445,Lat,50.92987,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,2.24,1.63,4.21,5.56,4.8,4.14,3.9,2.63,2.12,,,,,,,,
February,,,,0.6,1.42,2.67,4.32,2.18,1.62,2.06,2.38,1.28,,,,,,,,
March,,,,1.14,2.9,0.84,2.46,2.69,1.59,1.72,1.84,1.48,,,,,,,,
April,,,,0.71,1.87,0.82,2.24,2.23,3.24,1.1,0.44,4.04,,,,,,,,
May,,,,1.51,1.45,2.56,1.74,0.74,1.71,4.33,1.39,0.27,,,,,,,,
June,,,,3.9,1.25,2.16,1.82,1.32,0.73,1.66,0.38,2.98,,,,,,,,
July,,,,0.25,0.23,2.92,1.25,4.78,0.65,0.91,1.37,4.53,,,,,,,,
August,,,,3.17,0.79,3.87,3.02,1.79,4.61,0.86,1.82,1.44,,,,,,,,
September,,,,4.62,1.94,0.11,7.22,3.19,4.5,5.54,2.45,6.16,,,,,,,,
October,,,,3.16,1.29,7.71,1.45,3.01,2.73,2.14,3.88,2,,,,,,,,
November,,,,1.85,4.21,3.52,2.04,0.8,1.75,1.46,2.04,0.82,,,,,,,,
December,,,1.43,2.68,1.35,2.77,2,1.43,8.22,4.36,2.85,2.13,,,,,,,,
Total,,,,25.83,20.33,34.16,35.12,28.96,35.49,30.04,23.47,29.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Vinery House second gauge,,,,,,,,,,,,,,,,,,,,
Howard gauge,,,,,,,,,,,,,,,,,,,,
Gauge 4ft above ground,,,,,,,,,,,,,,,,,,,,
