SOUTHAMPTON-SHIRLEY-WARREN-(VINERY-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU398146,Long,-1.43445,Lat,50.92987,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.98,4.32,4.08,2.61,,,,,,,,,
February,,,,,,,,2.27,1.7,2.18,2.06,,,,,,,,,
March,,,,,,,,2.77,1.21,1.89,1.61,,,,,,,,,
April,,,,,,,,2.19,3.19,1.1,0.42,,,,,,,,,
May,,,,,,,,0.74,1.64,4.26,1.46,,,,,,,,,
June,,,,,,,,1.35,0.72,1.34,0.38,,,,,,,,,
July,,,,,,,1.58,4.75,0.67,0.88,1.34,,,,,,,,,
August,,,,,,,2.99,1.79,4.2,0.74,1.81,,,,,,,,,
September,,,,,,,7.34,3.3,4.58,5.46,2.47,,,,,,,,,
October,,,,,,,1.51,3.04,2.76,2.03,3.9,,,,,,,,,
November,,,,,,,2.09,0.82,1.76,1.5,2.02,,,,,,,,,
December,,,,,,,2.14,1.43,8.24,4.14,2.87,,,,,,,,,
Total,,,,,,,,29.43,34.99,29.6,22.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Vinery House,,,,,,,,,,,,,,,,,,,,
Gauge 6ft above ground,,,,,,,,,,,,,,,,,,,,
