SOUTHAMPTON-SHIRLEY-WARREN-(ANGLESEA-ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU398140,Long,-1.43438,Lat,50.92456,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.71,0.57,3.74,3.99,1.25,0.83,2.55,4.51,0.77,7.5,0.89,1.59,0.82,3.54,,,,,,,,,
February,,,,,,,,3.69,1.97,3.09,5.17,1.72,1.32,1.74,3.88,0.69,3.16,1.35,1.35,0.34,3.9,,,,,,,,,
March,,,,,,,,4.86,0.71,0.81,1.25,2.36,2.19,3.3,1.41,4.42,1.28,0.58,3.02,3.54,0.96,,,,,,,,,
April,,,,,,,,2.41,1.54,2.89,1.13,2.52,1.84,2.92,1.33,1.61,0.94,4.42,,1.23,2.42,,,,,,,,,
May,,,,,,,,0.93,5.14,1.18,2.3,1.14,2.68,2.89,3.28,0.61,2.04,3.31,1.86,1.15,1.45,,,,,,,,,
June,,,,,,,,2.79,1.02,1.04,2.69,1.23,3.67,3.58,0.91,3.69,1.93,1.5,0.55,5.17,3.4,,,,,,,,,
July,,,,,,,,1.28,0.4,1.12,0.66,2.42,1.47,2.82,1.75,0.18,0.9,1.06,1.51,3.06,2.02,,,,,,,,,
August,,,,,,,,4.08,1.21,0.79,3.71,3.1,3.51,4.22,3.16,2.82,1.42,1.87,4.69,2.46,1.34,,,,,,,,,
September,,,,,,,,2.3,1.09,2.83,0.95,2.08,0.88,2.28,2.4,2,0.91,0.46,1.7,4.02,,,,,,,,,,
October,,,,,,,,0.98,5.36,2.61,2.06,2.59,2.42,9.57,2.25,1.39,6.14,7.4,1.67,11.47,,,,,,,,,,
November,,,,,,,,1.06,5.05,5.26,3,0.48,3.3,1.49,1.01,4,4.14,2.72,1.13,0.55,,,,,,,,,,
December,,,,,,,,3.67,4.73,1.69,3.79,4.69,1.68,2.82,4,0.69,1.85,4.03,3.27,4.34,,,,,,,,,,
Total,,,,,,,,30.76,28.79,27.05,30.7,25.58,25.79,40.18,29.89,22.87,32.21,29.59,,38.15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 Gauge moved 0.25 miles SE from Tremona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Laurels Anglesea Road (near Shirley Place),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Apr in brackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Removed to Hulse Rd Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
